gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
HELZ2	-0.391612803080203	2.26402584516074	-0.413816741458198	-0.255526995771313	-0.431293568517148	-0.370804632642893	-0.400971103690988	DCs	1
PI4K2B	-0.373156140495887	2.25828906838662	-0.479847394315146	-0.19267056734808	-0.432463711154409	-0.357161670003813	-0.422989585069284	DCs	1
ISG20	-0.381280015294051	2.2666303108025	-0.398479314330032	-0.329123144907774	-0.391692993711945	-0.343903493824629	-0.42215134873407	DCs	1
GMPR	-0.351789184839824	2.26729738646693	-0.357233572162317	-0.36827927560278	-0.392073493030985	-0.386709218329497	-0.411212642501523	DCs	1
CCL8	-0.387373256231494	2.26533508853853	-0.401004427222284	-0.274304891973585	-0.399696644405702	-0.404992296795831	-0.397963571909636	DCs	1
DHX58	-0.422179525314226	2.25647167490454	-0.453514190093133	-0.168179550166617	-0.458002321252844	-0.348429439077687	-0.40616664900003	DCs	1
SSB	-0.465927860553266	2.25420504735856	-0.406441695904917	-0.137571907271898	-0.438489579600725	-0.388038312154268	-0.417735691873482	DCs	1
NR4A3	-0.351442970866148	2.25549589954418	-0.384379608222104	-0.439087556602524	-0.522757956785971	-0.378459639846566	-0.179368167220868	DCs	1
LY6E	-0.413526021694269	2.26522408721877	-0.315765879613826	-0.362761688578092	-0.369355802321729	-0.342876889389134	-0.460937805621722	DCs	1
ISG15	-0.382777808029823	2.2676601712493	-0.371772592689762	-0.358318834034974	-0.380880710004429	-0.392084212746184	-0.381826013744133	DCs	1
IFI44	-0.371139972096934	2.26345811703894	-0.339046740673269	-0.273978882785021	-0.447931490705833	-0.452910549200143	-0.378450481577736	DCs	1
TMEM110	-0.292645799460757	2.25899105042241	-0.406519179834191	-0.23347705584839	-0.444197119525177	-0.491778149028329	-0.390373746725563	DCs	1
KIAA0226	-0.391001024949162	2.25708719924658	-0.311340518642906	-0.204049681554914	-0.491813735014439	-0.388293324111774	-0.470588914973384	DCs	1
ATP10A	-0.263626069653359	2.26114338264873	-0.297222506987349	-0.409850145030746	-0.460851462663985	-0.464380016132681	-0.365213182180611	DCs	1
IFIT1	-0.368853418271628	2.26771461999178	-0.365852459824532	-0.382332601414288	-0.38858717224891	-0.381918970767137	-0.380169997465286	DCs	1
RABGAP1L	-0.376579495852612	2.26638237926582	-0.347393969982417	-0.391294904569956	-0.444849989426131	-0.33568815882668	-0.37057586060802	DCs	1
IFI6	-0.373132770164058	2.267334420096	-0.369604377138984	-0.379627680909511	-0.399007631334981	-0.342937025737507	-0.403024934810956	DCs	1
DDX60	-0.398599464196631	2.25730837842688	-0.365854537839096	-0.173434603964063	-0.414455176423887	-0.46820956480416	-0.436755031199043	DCs	1
IFITM1	-0.455216406147502	2.26300716179703	-0.450963330582893	-0.408778145385117	-0.319222042889269	-0.287077268764969	-0.34174996802728	DCs	1
