gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
BISPR	-0.292476514258003	2.25465572430933	-0.447847021297546	-0.176825594537839	-0.488093880863659	-0.433767061370077	-0.415645651982209	Monos	1
JUP	-0.411360204344796	2.25386792810515	-0.295392400780924	-0.515883057486948	-0.502165318179786	-0.212841011211542	-0.316225936101152	Monos	1
IFIT1	-0.337423564681221	2.26408693469873	-0.286876387365533	-0.362502272692239	-0.460749450470754	-0.426905758485375	-0.389629501003607	Monos	1
BMPR2	-0.274098483709818	2.25373039882168	-0.466809290968503	-0.201453949776044	-0.35625279848333	-0.432638688002977	-0.522477187881003	Monos	1
APOBEC3A	-0.387468281993651	2.2671579488634	-0.357389009193317	-0.348998031249481	-0.405083902912145	-0.408230552319969	-0.359988171194836	Monos	1
IFIT2	-0.348655727109033	2.25995726586612	-0.325983667027566	-0.233821048177086	-0.4725795181665	-0.423404201134278	-0.455513104251659	Monos	1
C19orf66	-0.415932317533985	2.25688501804275	-0.461630533831499	-0.190411173330599	-0.486862981211523	-0.368911008676712	-0.33313700345843	Monos	1
CACNA1A	-0.912623326993536	2.04320632759611	0.453088521440503	-0.451524995903107	-0.694746225027633	-0.26835247585563	-0.169047825256709	Monos	1
LINC01506	-0.0468795998076794	2.20950985435707	-0.485243699063452	-0.424218173644234	-0.0781771422159361	-0.632396221848495	-0.542595017777277	Monos	1
CHMP5	-0.31852543820653	2.24176714786346	-0.196440616039466	-0.195945204239275	-0.582145014781455	-0.414693132376415	-0.534017742220315	Monos	1
CNP	-0.386755910152516	2.26293141825816	-0.301041905013307	-0.382050115334126	-0.426212846433517	-0.476360188952579	-0.290510452372116	Monos	1
IFI6	-0.326141015704425	2.26571258427542	-0.347249382180841	-0.338323857004571	-0.440779182058235	-0.397008022694753	-0.416211124632595	Monos	1
RTCB	-0.168779177278308	2.25200422688895	-0.339877924971424	-0.314721661439726	-0.534512135640913	-0.447856327136961	-0.446257000421614	Monos	1
NCOA7	-0.409054952701176	2.26629452424471	-0.37400726053382	-0.312058837840998	-0.354778467111611	-0.418268802817009	-0.398126203240093	Monos	1
IFIT3	-0.375466488965865	2.25433092020232	-0.304123817825579	-0.179881843155809	-0.514029079907642	-0.442851762077551	-0.437977928269875	Monos	1
HELZ2	-0.255866498510833	2.24411555720972	-0.345386813174333	-0.274710623719952	-0.683945901843496	-0.372672396021656	-0.311533323939448	Monos	1
PNPT1	-0.362802118333944	2.26325117559808	-0.312152528640351	-0.364540216637363	-0.512506460856392	-0.363959210715178	-0.347290640414853	Monos	1
PPM1K	-0.400280436483636	2.15755734554847	0.0832976587868202	-0.376689356759502	-0.868803166400208	-0.525585140312908	-0.0694969043790389	Monos	1
OAS3	-0.370028015848535	2.25784129282389	-0.334054050408151	-0.222994945156885	-0.538057981436174	-0.385983016179119	-0.406723283795029	Monos	1
HERC5	-0.347431574629372	2.2657114519414	-0.342836113488984	-0.337599502704314	-0.436680454886173	-0.437401399756086	-0.363762406476469	Monos	1
PARP10	-0.251277844921406	2.25287105221094	-0.330867006219392	-0.38169662870265	-0.264635526874235	-0.588166201658392	-0.436227843834863	Monos	1
ISG15	-0.345352509875532	2.25709314609284	-0.321062559689879	-0.211169366860187	-0.510057074783549	-0.419606081814022	-0.449845553069675	Monos	1
IFI44	-0.258528335744164	2.25780531021011	-0.361822344615136	-0.349581473303217	-0.569360096647135	-0.364464071928955	-0.354048987971507	Monos	1
EIF2AK2	-0.331069111343804	2.24229495943776	-0.273017639714508	-0.277821321904143	-0.688168996695237	-0.261048215438895	-0.411169674341175	Monos	1
TRIM14	-0.488337326438143	2.2411733871676	-0.0819422886362591	-0.362095853484582	-0.558669453682817	-0.314307985635696	-0.435820479290103	Monos	1
MX2	-0.297168839770707	2.26217092912362	-0.328287675613594	-0.330871179995712	-0.511033069170032	-0.399458828342801	-0.39535133623077	Monos	1
IFITM3	-0.282202410341461	2.26338744317553	-0.341431363391675	-0.358203100589088	-0.4462959449023	-0.4653191909574	-0.36993543299361	Monos	1
EXOSC9	-0.333834964983043	2.2429001584734	-0.215774882069641	-0.201407699701567	-0.504474194145545	-0.373605645229369	-0.613802772344236	Monos	1
SAMD9	-0.315816298829424	2.24991931464671	-0.270894014091461	-0.22268833020259	-0.601248031464973	-0.392608499374322	-0.446664140683935	Monos	1
NT5C3A	-0.384306331571177	2.26468620232385	-0.399024538991936	-0.265702891941044	-0.406165817148657	-0.381489582032519	-0.427997040638518	Monos	1
IFI27	-0.328501173282439	2.259386731268	-0.430092973927261	-0.222517807372353	-0.472613571365186	-0.452104633268664	-0.353556572052095	Monos	1
HERC6	-0.349310244811621	2.26366104331921	-0.294458115211207	-0.41193729380947	-0.473982688389816	-0.32572155736656	-0.408251143730535	Monos	1
MSR1	-0.427761546301668	2.26091207183165	-0.454919942528409	-0.363195223349121	-0.335824218645975	-0.446824845158109	-0.232386295848363	Monos	1
MNDA	-0.322330046544157	2.25262391544928	-0.202591738767142	-0.449291646604345	-0.379851885702836	-0.32499895377625	-0.573559644054554	Monos	1
MX1	-0.34808734912415	2.25065216366783	-0.291137986431786	-0.195926564650026	-0.589837073118428	-0.385593158093335	-0.440070032250107	Monos	1
