gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
IRF9	-0.676060583799674	1.99206606025415	-0.605991272643504	0.715841402310791	-0.571520239604201	-0.386053699536761	-0.4682816669808	PMNs	1
AIM2	-0.513809300107839	2.05141554810585	-0.547243025143799	0.589015597284662	-0.693418843146691	-0.379783005766633	-0.506176971225554	PMNs	1
APOL2	-0.664113472707375	2.00291703622132	-0.371836611107229	0.689355866337603	-0.639414275021984	-0.57130551417012	-0.445603029552213	PMNs	1
TRAFD1	-0.516050347604264	2.14969621752764	-0.520983969907628	0.342853839063131	-0.5784888175218	-0.484815386538149	-0.392211535018935	PMNs	1
CHMP5	-0.412122509211186	2.13905027584258	-0.265137998025607	0.329998673984279	-0.644730445148017	-0.542924257730482	-0.604133739711568	PMNs	1
IFI16	-0.585388077381878	2.00857148152592	-0.689565047571832	0.683948830350786	-0.391552280913818	-0.510890530277343	-0.51512437573183	PMNs	1
AP5B1	-0.413498044713243	2.16504729112193	-0.444391042804243	0.282195179311429	-0.416297322005025	-0.546915186930443	-0.626140873980404	PMNs	1
MICB	-0.375826527530239	2.13384210534285	-0.531989468129852	0.386005916620152	-0.548699359219242	-0.472295627160313	-0.591037039923353	PMNs	1
DAPP1	-0.649466996782981	1.9297563093106	-0.630219006170065	0.741484575363293	-0.851166627924424	-0.134614861128784	-0.405773392667638	PMNs	1
APOL1	-0.502051958640422	2.14388622688523	-0.62359441233216	0.356521010248076	-0.39718869389287	-0.497029889999303	-0.480542282268554	PMNs	1
PSMB8	-0.613546792913479	2.00623992390952	-0.812714640835899	0.614355348469792	-0.169025184638619	-0.56933628169804	-0.455972372293279	PMNs	1
RERE	-0.729640074170818	2.06555927802024	-0.547683771830962	0.535675337865585	-0.480158566596809	-0.304246364179439	-0.539505839107796	PMNs	1
FAM8A1	-0.397275195449345	2.17121136630078	-0.4963055900039	0.260876981259144	-0.389454709153219	-0.544514895483244	-0.604537957470212	PMNs	1
UBE2L6	-0.518607399141634	2.14492501612626	-0.547531773658962	0.365317266533521	-0.508737521928978	-0.488017918715565	-0.447347669214639	PMNs	1
TYMP	-0.504819779326297	2.06297056537071	-0.273897710278484	0.531373847948717	-0.525507520763635	-0.75361642287241	-0.536502980078603	PMNs	1
TRIM21	-0.561872791427375	1.92325847060687	-0.656699745344638	0.824955795463642	-0.265595557421243	-0.677420437442421	-0.586625734434831	PMNs	1
MVP	-0.801337564828957	1.96289068949727	-0.582365552721665	0.711858087661228	-0.408180648378774	-0.668026766989621	-0.21483824423948	PMNs	1
GIMAP4	-0.47504379933022	2.0325634691542	-0.700271340635327	0.632567461748327	-0.58833346787763	-0.447126636617392	-0.454355686441957	PMNs	1
NLRC5	-0.553001334415141	2.06189083779123	-0.441675147706941	0.564253904219611	-0.37769401744493	-0.645709930751344	-0.608064311692481	PMNs	1
NMI	-0.579421664568515	2.12038972803415	-0.616963401113638	0.396777989931122	-0.610652334039412	-0.405575142076686	-0.304555176167019	PMNs	1
PARP9	-0.526432521297649	2.08750603936593	-0.547974155723171	0.523129367912316	-0.464568097014743	-0.511380858210741	-0.560279775031944	PMNs	1
DTX3L	-0.51563069022422	2.12186790533159	-0.511073627093672	0.435369097545956	-0.516610341547066	-0.515724030461154	-0.498198313551433	PMNs	1
