Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	stimulation
ABTB2	5.13038213494133	2.55920628106019	0.7182669482993	3.56302943789887	0.000366599550575278	0.00482010520200829	IFN_B1a
ABTB2	5.13038213494133	0.50711966931391	0.787929775024699	0.643610237089991	0.519828210255859	NA	IFN_lambda2
ABTB2	5.13038213494133	-0.507825599793289	0.820382682712616	-0.619010628203597	0.535909357304539	NA	IFN_y
ABTB2	5.13038213494133	0.72205047811766	0.755415587052039	0.955832114790504	0.339157060425365	NA	IL_10
ABTB2	5.13038213494133	0.258769357148137	0.788580926763841	0.328145594657061	0.742801581321078	NA	IL_13
ABTB2	5.13038213494133	0.276681312284463	0.771474161323363	0.358639765471668	0.719864594579252	NA	IL_4
ADAR	92.3077717212792	2.26113743625663	0.181323878211665	12.4701581422009	1.08610292735018e-35	2.12061596565123e-33	IFN_B1a
ADAR	92.3077717212792	-0.152301480768321	0.206698319575937	-0.736829796588496	0.461225860700706	NA	IFN_lambda2
ADAR	92.3077717212792	0.732750250286593	0.184590802445519	3.96959242052627	7.19956778949179e-05	0.00373303905295491	IFN_y
ADAR	92.3077717212792	-0.0733256637581656	0.198249642433819	-0.369865301435001	0.711482856347643	0.950351441515469	IL_10
ADAR	92.3077717212792	-0.155735688869052	0.200843754339295	-0.775407178487416	0.438099094670413	0.750423623329396	IL_13
ADAR	92.3077717212792	0.060738698730957	0.193304548840987	0.314212464709875	0.753359676297667	0.95035760956237	IL_4
ANKFY1	39.1561076019125	2.17896870670024	0.25092074718386	8.68389214983335	3.82451442524686e-18	2.87206323665173e-16	IFN_B1a
ANKFY1	39.1561076019125	0.232039752102841	0.27837382303828	0.833554497223441	0.404532075964603	NA	IFN_lambda2
ANKFY1	39.1561076019125	0.636864524743024	0.257042816444071	2.47765930031971	0.0132247358805202	0.196905324407443	IFN_y
ANKFY1	39.1561076019125	0.5658911945654	0.261945475310262	2.16033964280211	0.0307463862004825	0.287962888464025	IL_10
ANKFY1	39.1561076019125	0.280528701206073	0.270729553055933	1.03619533973861	0.30011102047276	0.645864766804768	IL_13
ANKFY1	39.1561076019125	0.50168943097644	0.260434933806945	1.92635228939115	0.0540604004690839	NA	IL_4
APOBEC3A	244.234249937342	7.46178114026788	0.525407697650224	14.201887740966	8.91773788237023e-46	3.48237664306557e-43	IFN_B1a
APOBEC3A	244.234249937342	-0.351952912765319	0.616798435041384	-0.570612525535517	0.568262326031148	0.909491618081326	IFN_lambda2
APOBEC3A	244.234249937342	1.50113024391948	0.543765767092217	2.76061924962058	0.00576918918364842	0.120927933562219	IFN_y
APOBEC3A	244.234249937342	-0.610744208642281	0.612403404949506	-0.997290680793387	0.318623435887958	0.825733747704816	IL_10
APOBEC3A	244.234249937342	-0.66936645225345	0.6170374024794	-1.08480693320013	0.27800717414387	0.62473249114086	IL_13
APOBEC3A	244.234249937342	-0.831597882513076	0.614450378861138	-1.35340120394166	0.175927493046705	0.592878457428529	IL_4
APOBEC3G	12.758390203741	3.51189178666292	0.490657502710397	7.15752182991841	8.21485120349271e-13	4.08649604454001e-11	IFN_B1a
APOBEC3G	12.758390203741	-0.473616954928886	0.63306582280183	-0.748132244499864	0.454380394548289	NA	IFN_lambda2
APOBEC3G	12.758390203741	1.45510715561565	0.506909184010162	2.87054802223997	0.00409760951186319	0.0949841953906796	IFN_y
APOBEC3G	12.758390203741	-0.458415548798442	0.59975438529939	-0.76433880274107	0.44466536748431	0.882085956463649	IL_10
APOBEC3G	12.758390203741	-0.0254210312636847	0.583017162604728	-0.0436025436200058	0.965221224112227	NA	IL_13
APOBEC3G	12.758390203741	0.170027698602233	0.5557480530356	0.305943849327964	0.759647398714117	NA	IL_4
APOL1	20.4304750440424	2.74440436451017	0.41080289165247	6.68058677355144	2.37987414077586e-11	1.00469281294376e-09	IFN_B1a
APOL1	20.4304750440424	-0.149164342917133	0.481394129779405	-0.309859081550259	0.756668120513232	NA	IFN_lambda2
APOL1	20.4304750440424	1.94574149066914	0.406396968773142	4.78778544176418	1.68631792675503e-06	0.000144461235725348	IFN_y
APOL1	20.4304750440424	0.615285063488719	0.437557922314912	1.40617968984206	0.159670773565317	0.651711259846296	IL_10
APOL1	20.4304750440424	-0.668495783621296	0.500339763798894	-1.33608366152164	0.181521929665748	NA	IL_13
APOL1	20.4304750440424	-0.500286558240442	0.475930500787946	-1.05117565991709	0.293177919926555	NA	IL_4
APOL3	25.9524261916282	3.85907906112299	0.48911816552554	7.88987065523634	3.02499892828662e-15	1.86025524645028e-13	IFN_B1a
APOL3	25.9524261916282	0.397566333197937	0.575586700523899	0.690714939792862	0.489744698856779	NA	IFN_lambda2
APOL3	25.9524261916282	4.55944340088119	0.47720609678567	9.55445337264624	1.24238032355252e-21	6.11975841043246e-19	IFN_y
APOL3	25.9524261916282	-0.372884052384853	0.602576787482451	-0.618815825851428	0.536037695293298	0.909591468312609	IL_10
APOL3	25.9524261916282	-0.208302168820033	0.6079713376741	-0.342618403059804	0.731885555533474	NA	IL_13
APOL3	25.9524261916282	-1.11147740041527	0.667389981625385	-1.66540917756712	0.0958311496667018	NA	IL_4
APOL6	79.7693223813116	4.01464629870002	0.252495780326639	15.8998550134442	6.3511569680587e-57	3.54303828003846e-54	IFN_B1a
APOL6	79.7693223813116	0.0106642272445971	0.307073523603159	0.0347285793951379	0.972296171606143	NA	IFN_lambda2
APOL6	79.7693223813116	2.78516338851178	0.252634129073556	11.0244937955349	2.9115191469123e-28	2.45856995391408e-25	IFN_y
APOL6	79.7693223813116	0.428955775289034	0.284305157693896	1.5087864700326	0.131353359450154	0.60596996385127	IL_10
APOL6	79.7693223813116	0.0250739252153729	0.298652883446947	0.0839567491395979	0.933090819492115	0.978838870772139	IL_13
APOL6	79.7693223813116	0.0645001700639876	0.290119638240032	0.222322661283008	0.824062712344839	0.97309954019436	IL_4
ASCL2	29.5246222721229	2.78826757124431	0.30816561756986	9.04795153084271	1.45675407935366e-19	1.21034567656937e-17	IFN_B1a
ASCL2	29.5246222721229	-0.391702232277768	0.382501866248952	-1.02405312716259	0.305810182087527	NA	IFN_lambda2
ASCL2	29.5246222721229	1.73694220297379	0.306956785233705	5.65858872170346	1.5262281115036e-08	2.14798437311852e-06	IFN_y
ASCL2	29.5246222721229	-1.53606170632974	0.433338367190886	-3.54471660630294	0.000393035417766342	0.0129400895451337	IL_10
ASCL2	29.5246222721229	-0.509752361712736	0.376127605157919	-1.35526442282457	0.175333325742565	0.502717656286504	IL_13
ASCL2	29.5246222721229	-0.365148807256206	0.358164258642601	-1.01950096483685	0.307965195346097	NA	IL_4
ASPHD2	6.04660784358359	2.22015270768956	0.728829691904927	3.04618861216643	0.00231762400562769	0.023507329199938	IFN_B1a
ASPHD2	6.04660784358359	-0.573909864700253	0.876688000339089	-0.654634105266953	0.512703360228159	NA	IFN_lambda2
ASPHD2	6.04660784358359	2.26193204004694	0.701654713274635	3.22371103229744	0.0012654102150312	NA	IFN_y
ASPHD2	6.04660784358359	-0.254039119072591	0.814479459129803	-0.311903653585087	0.755113745768529	NA	IL_10
ASPHD2	6.04660784358359	-0.292225621103776	0.826064988081841	-0.353756212065514	0.723521591832261	NA	IL_13
ASPHD2	6.04660784358359	-1.37292365536663	0.9216830276373	-1.4895833103123	0.136333833027375	NA	IL_4
ATF3	93.9466945410863	2.31311549152916	0.194523090501924	11.8912129432073	1.31483090256617e-32	2.13933944771704e-30	IFN_B1a
ATF3	93.9466945410863	-0.349065676382232	0.222809529529496	-1.56665505788442	0.117195340987217	NA	IFN_lambda2
ATF3	93.9466945410863	0.716704200576003	0.197857532058694	3.62232457424666	0.00029196745655781	0.0125059393892262	IFN_y
ATF3	93.9466945410863	-0.634804505401949	0.221355351989529	-2.86780735002051	0.00413327127728884	0.0773101436299851	IL_10
ATF3	93.9466945410863	-0.0229919095941037	0.210052639395961	-0.109457846662725	0.91283935431017	0.969918008138585	IL_13
ATF3	93.9466945410863	-0.111288189328375	0.208207180203188	-0.534506971468369	0.592990827470128	0.892405092957845	IL_4
ATP10A	6.69643848943839	3.54644317735984	0.691901719380517	5.12564585116957	2.96519516290496e-07	8.04103271607214e-06	IFN_B1a
ATP10A	6.69643848943839	0.0713821992323181	0.825041395490343	0.0865195366226367	0.931053426324153	NA	IFN_lambda2
ATP10A	6.69643848943839	-0.712965439893386	0.846948882724893	-0.841804569833729	0.399897353576618	NA	IFN_y
ATP10A	6.69643848943839	-0.961035703954142	0.899106569129492	-1.06887852558413	0.285124409519173	NA	IL_10
ATP10A	6.69643848943839	-0.407860225801171	0.845860849394467	-0.482183595674335	0.629675529099822	NA	IL_13
ATP10A	6.69643848943839	0.0117495325646374	0.786297449473615	0.0149428598204193	0.988077766540747	NA	IL_4
BATF	16.9873280362339	0.27962361538389	0.486146985384056	0.575183275409983	0.565167352548954	0.821506983697623	IFN_B1a
BATF	16.9873280362339	0.103911863832099	0.473681921661541	0.219370550321208	0.82636140875718	NA	IFN_lambda2
BATF	16.9873280362339	1.17056858362267	0.412087527490209	2.84058241401271	0.00450312357056909	0.100067531675315	IFN_y
BATF	16.9873280362339	2.64692381966138	0.39278685952374	6.73882986531377	1.59667225578696e-11	3.60967683755894e-09	IL_10
BATF	16.9873280362339	0.472309459855431	0.444583600231003	1.06236365806121	0.288070625438143	NA	IL_13
BATF	16.9873280362339	1.28753148981789	0.411422340956795	3.12946420659519	0.00175125406806845	NA	IL_4
BATF2	21.2690948092231	4.14451510774603	0.550626767744494	7.52690452141113	5.19573337943696e-14	2.87792040378742e-12	IFN_B1a
BATF2	21.2690948092231	-0.440155267539454	0.673387565278965	-0.653643295829364	0.513341643463241	NA	IFN_lambda2
BATF2	21.2690948092231	2.51144213645539	0.55394758555199	4.53371799419042	5.79543940179778e-06	0.00044489405589645	IFN_y
