Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	stimulation
ABHD17C	13.7964299788967	0.943734496551687	0.710608083218942	1.32806608711333	0.184156275575117	0.62176583721219	IFN_B1a
ABHD17C	13.7964299788967	0.785094859632128	0.713514675562961	1.10032054913613	0.271192481861118	NA	IFN_lambda2
ABHD17C	13.7964299788967	0.77455681884458	0.691064829860292	1.12081643483603	0.26236600699536	0.816794942738004	IFN_y
ABHD17C	13.7964299788967	3.29746061356914	0.658994214233236	5.00377779098692	5.62175564211166e-07	2.4079169421833e-05	IL_10
ABHD17C	13.7964299788967	2.03618922068686	0.678437345015403	3.00129295011116	0.0026883579463692	0.0345506788636089	IL_13
ABHD17C	13.7964299788967	1.50813427888987	0.692057072399422	2.17920506709228	0.0293164376864905	0.225041787558725	IL_4
ACPP	5.28559636188014	-0.306640425443645	1.3714366216135	-0.223590664425222	0.823075828487588	0.962314131797314	IFN_B1a
ACPP	5.28559636188014	0.259928836167176	1.28097107898086	0.202915460334964	0.839201110059686	NA	IFN_lambda2
ACPP	5.28559636188014	1.16867540514537	1.16007204280778	1.00741623107887	0.313734794633211	NA	IFN_y
ACPP	5.28559636188014	4.37639650904575	1.10607167026984	3.95670246935994	7.59914823695289e-05	0.00178367207417758	IL_10
ACPP	5.28559636188014	1.2533772032246	1.19301264835881	1.05059841984813	0.293443067117032	NA	IL_13
ACPP	5.28559636188014	0.386122316594082	1.27291985023598	0.303335922149773	0.761633873059045	NA	IL_4
ADGRE1	63.8452714489572	1.32647281266932	0.277690346616635	4.77680563559732	1.7810176931848e-06	7.30839987664923e-05	IFN_B1a
ADGRE1	63.8452714489572	-0.134415684607243	0.297214832578015	-0.45225093055193	0.651088221363695	NA	IFN_lambda2
ADGRE1	63.8452714489572	-0.102946538389086	0.284242858294058	-0.362178100118121	0.717218943812473	0.967763729330973	IFN_y
ADGRE1	63.8452714489572	2.19463221027299	0.269094414002255	8.15562158140749	3.47388561368256e-16	6.37023774409039e-14	IL_10
ADGRE1	63.8452714489572	-0.34754080174161	0.301216261805316	-1.15379163016848	0.248585606451739	0.621683227422514	IL_13
ADGRE1	63.8452714489572	-0.619069020032218	0.309933430368355	-1.99742576751548	0.0457789509784481	0.300875295305506	IL_4
ANKFY1	9.15908790144094	2.79309356230797	0.667311290130002	4.18559314613699	2.84422402257165e-05	0.000886823668247755	IFN_B1a
ANKFY1	9.15908790144094	0.284419712646331	0.743379531095632	0.382603637508203	0.702013672784894	NA	IFN_lambda2
ANKFY1	9.15908790144094	1.40586556397639	0.67642164412683	2.07838642684353	0.0376737818486298	0.369088477524664	IFN_y
ANKFY1	9.15908790144094	0.244885406673551	0.729180096074364	0.335836658175289	0.736994044806499	0.928402338721572	IL_10
ANKFY1	9.15908790144094	0.80563293463595	0.715347255893431	1.12621237867161	0.260075635145531	0.633137945069026	IL_13
ANKFY1	9.15908790144094	0.866437513526814	0.716526590194406	1.20921892555548	0.226578748659545	NA	IL_4
ANKRD22	8.81470820438283	3.31543723227443	1.26465570117768	2.62161252994552	0.00875148654152862	0.10973017740532	IFN_B1a
ANKRD22	8.81470820438283	0.397517344611002	1.48078542688069	0.268450335473912	0.788352698735896	NA	IFN_lambda2
ANKRD22	8.81470820438283	4.97947794694833	1.2319629547165	4.04190558481057	5.30185810091512e-05	0.00191136477638076	IFN_y
ANKRD22	8.81470820438283	4.7089725970262	1.23669591315334	3.80770450273359	0.000140262734803719	0.00296065369722383	IL_10
ANKRD22	8.81470820438283	2.9216683013061	1.27353427993476	2.2941418596567	0.0217823516070496	0.160871742597898	IL_13
ANKRD22	8.81470820438283	3.102785851623	1.27027670379495	2.44260627810731	0.0145816355452546	NA	IL_4
APOBEC3A	149.364331726862	3.03753391737846	0.190576997417699	15.9386177688639	3.4183138839248e-57	5.01466646771769e-54	IFN_B1a
APOBEC3A	149.364331726862	0.0828505833575185	0.21108944127073	0.392490419505443	0.694695888785588	0.883346761166485	IFN_lambda2
APOBEC3A	149.364331726862	0.154222644888476	0.200941720338457	0.767499375583677	0.442784664301707	0.898595219262953	IFN_y
APOBEC3A	149.364331726862	-0.0101413276510028	0.207682129349812	-0.0488310076690381	0.961053971095937	0.995216859488803	IL_10
