SampleID	Count	Donor	CellType	Condition	sample
D4_PMNs_Buffer	humanMyeloid_D4_PMNs_Buffer_sample_0001.count	D4	PMNs	Buffer	0001
D4_PMNs_IFN_B1a	humanMyeloid_D4_PMNs_IFN-B1a_sample_0009.count	D4	PMNs	IFN_B1a	0009
D4_PMNs_IFN_y	humanMyeloid_D4_PMNs_IFN-y_sample_0010.count	D4	PMNs	IFN_y	0010
D4_PMNs_IFN_lambda2	humanMyeloid_D4_PMNs_IFN-lambda2_sample_0011.count	D4	PMNs	IFN_lambda2	0011
D4_PMNs_IL_4	humanMyeloid_D4_PMNs_IL-4_sample_0012.count	D4	PMNs	IL_4	0012
D4_PMNs_IL_10	humanMyeloid_D4_PMNs_IL-10_sample_0013.count	D4	PMNs	IL_10	0013
D4_PMNs_IL_13	humanMyeloid_D4_PMNs_IL-13_sample_0014.count	D4	PMNs	IL_13	0014
D4_Monos_Buffer	humanMyeloid_D4_Monos_Buffer_sample_0017.count	D4	Monos	Buffer	0017
D4_Monos_IFN_B1a	humanMyeloid_D4_Monos_IFN-B1a_sample_0025.count	D4	Monos	IFN_B1a	0025
D4_Monos_IFN_y	humanMyeloid_D4_Monos_IFN-y_sample_0026.count	D4	Monos	IFN_y	0026
D4_Monos_IFN_lambda2	humanMyeloid_D4_Monos_IFN-lambda2_sample_0027.count	D4	Monos	IFN_lambda2	0027
D4_Monos_IL_4	humanMyeloid_D4_Monos_IL-4_sample_0028.count	D4	Monos	IL_4	0028
D4_Monos_IL_10	humanMyeloid_D4_Monos_IL-10_sample_0029.count	D4	Monos	IL_10	0029
D4_Monos_IL_13	humanMyeloid_D4_Monos_IL-13_sample_0030.count	D4	Monos	IL_13	0030
D4_DCs_Buffer	humanMyeloid_D4_DCs_Buffer_sample_0033.count	D4	DCs	Buffer	0033
D4_DCs_IFN_B1a	humanMyeloid_D4_DCs_IFN-B1a_sample_0041.count	D4	DCs	IFN_B1a	0041
D4_DCs_IFN_y	humanMyeloid_D4_DCs_IFN-y_sample_0042.count	D4	DCs	IFN_y	0042
D4_DCs_IFN_lambda2	humanMyeloid_D4_DCs_IFN-lambda2_sample_0043.count	D4	DCs	IFN_lambda2	0043
D4_DCs_IL_4	humanMyeloid_D4_DCs_IL-4_sample_0044.count	D4	DCs	IL_4	0044
D4_DCs_IL_10	humanMyeloid_D4_DCs_IL-10_sample_0045.count	D4	DCs	IL_10	0045
D4_DCs_IL_13	humanMyeloid_D4_DCs_IL-13_sample_0046.count	D4	DCs	IL_13	0046
D4_Macs_Buffer	humanMyeloid_D4_Macs_Buffer_sample_0049.count	D4	Macs	Buffer	0049
D4_Macs_IFN_B1a	humanMyeloid_D4_Macs_IFN-B1a_sample_0057.count	D4	Macs	IFN_B1a	0057
D4_Macs_IFN_y	humanMyeloid_D4_Macs_IFN-y_sample_0058.count	D4	Macs	IFN_y	0058
D4_Macs_IFN_lambda2	humanMyeloid_D4_Macs_IFN-lambda2_sample_0059.count	D4	Macs	IFN_lambda2	0059
D4_Macs_IL_4	humanMyeloid_D4_Macs_IL-4_sample_0060.count	D4	Macs	IL_4	0060
D4_Macs_IL_10	humanMyeloid_D4_Macs_IL-10_sample_0061.count	D4	Macs	IL_10	0061
D4_Macs_IL_13	humanMyeloid_D4_Macs_IL-13_sample_0062.count	D4	Macs	IL_13	0062
D5_PMNs_Buffer	humanMyeloid_D5_PMNs_Buffer_sample_0065.count	D5	PMNs	Buffer	0065
D5_PMNs_IFN_B1a	humanMyeloid_D5_PMNs_IFN-B1a_sample_0073.count	D5	PMNs	IFN_B1a	0073
D5_PMNs_IFN_y	humanMyeloid_D5_PMNs_IFN-y_sample_0074.count	D5	PMNs	IFN_y	0074
D5_PMNs_IFN_lambda2	humanMyeloid_D5_PMNs_IFN-lambda2_sample_0075.count	D5	PMNs	IFN_lambda2	0075
D5_PMNs_IL_4	humanMyeloid_D5_PMNs_IL-4_sample_0076.count	D5	PMNs	IL_4	0076
D5_PMNs_IL_10	humanMyeloid_D5_PMNs_IL-10_sample_0077.count	D5	PMNs	IL_10	0077
D5_PMNs_IL_13	humanMyeloid_D5_PMNs_IL-13_sample_0078.count	D5	PMNs	IL_13	0078
D5_Monos_Buffer	humanMyeloid_D5_Monos_Buffer_sample_0081.count	D5	Monos	Buffer	0081
D5_Monos_IFN_B1a	humanMyeloid_D5_Monos_IFN-B1a_sample_0089.count	D5	Monos	IFN_B1a	0089
D5_Monos_IFN_y	humanMyeloid_D5_Monos_IFN-y_sample_0090.count	D5	Monos	IFN_y	0090
D5_Monos_IFN_lambda2	humanMyeloid_D5_Monos_IFN-lambda2_sample_0091.count	D5	Monos	IFN_lambda2	0091
D5_Monos_IL_4	humanMyeloid_D5_Monos_IL-4_sample_0092.count	D5	Monos	IL_4	0092
D5_Monos_IL_10	humanMyeloid_D5_Monos_IL-10_sample_0093.count	D5	Monos	IL_10	0093
D5_Monos_IL_13	humanMyeloid_D5_Monos_IL-13_sample_0094.count	D5	Monos	IL_13	0094
D5_DCs_Buffer	humanMyeloid_D5_DCs_Buffer_sample_0097.count	D5	DCs	Buffer	0097
D5_DCs_IFN_B1a	humanMyeloid_D5_DCs_IFN-B1a_sample_0105.count	D5	DCs	IFN_B1a	0105
D5_DCs_IFN_y	humanMyeloid_D5_DCs_IFN-y_sample_0106.count	D5	DCs	IFN_y	0106
D5_DCs_IFN_lambda2	humanMyeloid_D5_DCs_IFN-lambda2_sample_0107.count	D5	DCs	IFN_lambda2	0107
D5_DCs_IL_4	humanMyeloid_D5_DCs_IL-4_sample_0108.count	D5	DCs	IL_4	0108
D5_DCs_IL_10	humanMyeloid_D5_DCs_IL-10_sample_0109.count	D5	DCs	IL_10	0109
D5_DCs_IL_13	humanMyeloid_D5_DCs_IL-13_sample_0110.count	D5	DCs	IL_13	0110
D5_Macs_Buffer	humanMyeloid_D5_Macs_Buffer_sample_0113.count	D5	Macs	Buffer	0113
D5_Macs_IFN_B1a	humanMyeloid_D5_Macs_IFN-B1a_sample_0121.count	D5	Macs	IFN_B1a	0121
D5_Macs_IFN_y	humanMyeloid_D5_Macs_IFN-y_sample_0122.count	D5	Macs	IFN_y	0122
D5_Macs_IFN_lambda2	humanMyeloid_D5_Macs_IFN-lambda2_sample_0123.count	D5	Macs	IFN_lambda2	0123
