SampleID	Count	Donor	CellType	Condition
D4_DCs_Buffer_sample_0033	humanMyeloid_D4_DCs_Buffer_sample_0033.count	D4	DCs	Buffer
D4_DCs_delta5_sample_0048	humanMyeloid_D4_DCs_delta5_sample_0048.count	D4	DCs	delta5
D4_DCs_Hla_sample_0040	humanMyeloid_D4_DCs_Hla_sample_0040.count	D4	DCs	Hla
D4_DCs_HlgAB_sample_0038	humanMyeloid_D4_DCs_HlgAB_sample_0038.count	D4	DCs	HlgAB
D4_DCs_HlgCB_sample_0039	humanMyeloid_D4_DCs_HlgCB_sample_0039.count	D4	DCs	HlgCB
D4_DCs_IFN-B1a_sample_0041	humanMyeloid_D4_DCs_IFN-B1a_sample_0041.count	D4	DCs	IFN-B1a
D4_DCs_IFN-lambda2_sample_0043	humanMyeloid_D4_DCs_IFN-lambda2_sample_0043.count	D4	DCs	IFN-lambda2
D4_DCs_IFN-y_sample_0042	humanMyeloid_D4_DCs_IFN-y_sample_0042.count	D4	DCs	IFN-y
D4_DCs_IL-10_sample_0045	humanMyeloid_D4_DCs_IL-10_sample_0045.count	D4	DCs	IL-10
D4_DCs_IL-13_sample_0046	humanMyeloid_D4_DCs_IL-13_sample_0046.count	D4	DCs	IL-13
D4_DCs_IL-4_sample_0044	humanMyeloid_D4_DCs_IL-4_sample_0044.count	D4	DCs	IL-4
D4_DCs_LukAB-CC30_sample_0035	humanMyeloid_D4_DCs_LukAB_CC30_sample_0035.count	D4	DCs	LukAB-CC30
D4_DCs_LukAB-CC8_sample_0034	humanMyeloid_D4_DCs_LukAB_CC8_sample_0034.count	D4	DCs	LukAB-CC8
D4_DCs_LukED_sample_0036	humanMyeloid_D4_DCs_LukED_sample_0036.count	D4	DCs	LukED
D4_DCs_LukSF_sample_0037	humanMyeloid_D4_DCs_LukSF_sample_0037.count	D4	DCs	LukSF
D4_DCs_WT_sample_0047	humanMyeloid_D4_DCs_WT_sample_0047.count	D4	DCs	WT
D4_Macs_Buffer_sample_0049	humanMyeloid_D4_Macs_Buffer_sample_0049.count	D4	Macs	Buffer
D4_Macs_delta5_sample_0064	humanMyeloid_D4_Macs_delta5_sample_0064.count	D4	Macs	delta5
D4_Macs_Hla_sample_0056	humanMyeloid_D4_Macs_Hla_sample_0056.count	D4	Macs	Hla
D4_Macs_HlgAB_sample_0054	humanMyeloid_D4_Macs_HlgAB_sample_0054.count	D4	Macs	HlgAB
D4_Macs_HlgCB_sample_0055	humanMyeloid_D4_Macs_HlgCB_sample_0055.count	D4	Macs	HlgCB
D4_Macs_IFN-B1a_sample_0057	humanMyeloid_D4_Macs_IFN-B1a_sample_0057.count	D4	Macs	IFN-B1a
D4_Macs_IFN-lambda2_sample_0059	humanMyeloid_D4_Macs_IFN-lambda2_sample_0059.count	D4	Macs	IFN-lambda2
D4_Macs_IFN-y_sample_0058	humanMyeloid_D4_Macs_IFN-y_sample_0058.count	D4	Macs	IFN-y
D4_Macs_IL-10_sample_0061	humanMyeloid_D4_Macs_IL-10_sample_0061.count	D4	Macs	IL-10
D4_Macs_IL-13_sample_0062	humanMyeloid_D4_Macs_IL-13_sample_0062.count	D4	Macs	IL-13
D4_Macs_IL-4_sample_0060	humanMyeloid_D4_Macs_IL-4_sample_0060.count	D4	Macs	IL-4
D4_Macs_LukAB-CC30_sample_0051	humanMyeloid_D4_Macs_LukAB_CC30_sample_0051.count	D4	Macs	LukAB-CC30
D4_Macs_LukAB-CC8_sample_0050	humanMyeloid_D4_Macs_LukAB_CC8_sample_0050.count	D4	Macs	LukAB-CC8
D4_Macs_LukED_sample_0052	humanMyeloid_D4_Macs_LukED_sample_0052.count	D4	Macs	LukED
D4_Macs_LukSF_sample_0053	humanMyeloid_D4_Macs_LukSF_sample_0053.count	D4	Macs	LukSF
D4_Macs_WT_sample_0063	humanMyeloid_D4_Macs_WT_sample_0063.count	D4	Macs	WT
D4_Monos_Buffer_sample_0017	humanMyeloid_D4_Monos_Buffer_sample_0017.count	D4	Monos	Buffer
