Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	stimulation
ANKRD22	10.4253395656577	2.90313634980655	0.714704314814932	4.0620103861529	4.86519119843781e-05	0.00131816468675248	Macs_IFN_B1a_Macs_IFN_y
CCL2	444.105759848637	2.12323825441603	0.804763078698856	2.63833954441461	0.00833131167663581	0.055316034504175	Macs_IFN_B1a_Macs_IFN_y
CCL7	56.577180179784	2.41447847276037	0.886011633981587	2.725109219966	0.00642802192227123	0.045559958075015	Macs_IFN_B1a_Macs_IFN_y
GIMAP2	5.01120739040907	1.85178794142201	0.537609839233244	3.4444829805628	0.000572152655188693	0.00902636760143138	Macs_IFN_B1a_Macs_IFN_y
GIMAP6	2.08825415284104	1.64852468700755	0.613474609230687	2.68719301859101	0.00720553012859412	0.0489804488503243	Macs_IFN_B1a_Macs_IFN_y
MT2A	199.227682282951	1.69119931735611	0.621695950386904	2.72029971612911	0.00652227695509298	0.045559958075015	Macs_IFN_B1a_Macs_IFN_y
PARP10	3.9323991546238	1.558910680907	0.556133320009106	2.80312404385603	0.00506101998138734	0.0602050501952536	Macs_IFN_B1a
SP140L	4.10498076457934	1.69246287944693	0.662330742784121	2.55531378829349	0.0106092109401485	0.0907962713077681	Macs_IFN_B1a
CCM2L	6.74187536373044	3.37026399473847	1.254577357081	2.68637400134496	0.00722321856556354	0.0460755471005875	Macs_IL_10
HEG1	23.2543849586545	2.27357939791869	0.820222986516984	2.77190402523742	0.00557294650956737	0.0398234560401117	Macs_IL_10
SLC16A10	22.4214448428683	3.42010116198813	1.22701008436185	2.78734560178196	0.00531417710211562	0.0396952925961061	Macs_IL_10
TLR8	49.8509872606745	2.52402658698311	0.699206611877876	3.60984370586009	0.000306381557982426	0.00619184990670545	Macs_IL_10
LILRB2	186.279198442016	1.63798516583499	0.682440924908985	2.4001860176446	0.0163867421531885	0.0838051499260017	Macs_IL_10
MARCH2	51.6969344255508	1.90363285088258	0.706481312314716	2.69452682993908	0.00704886514040093	0.0457248751870745	Macs_IL_10
PNKD	66.8222318274439	2.08004002356781	0.669794019898527	3.10549207931556	0.00189962708384473	0.0189507069569944	Macs_IL_10
SEMA4B	19.822965794278	2.06110516185809	0.836323912005517	2.46448192174194	0.0137211485137452	0.0727368410459824	Macs_IL_10
STOM	115.903033883066	2.01895537290766	0.74192567849027	2.7212366837282	0.00650381766475853	0.0439230425852871	Macs_IL_10
