GeneSymbol	Macs_IFN_B1a Macs_IFN_y	Macs_IL_10	Macs_IL_4 Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a Monos_IFN_y	Monos_IL_10	Monos_IL_4 Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a PMNs_IFN_y	PMNs_IL_4 PMNs_IL_13	Condition
GCNT2	13.66666667	13.66666667	9.5	5.333333333	6.333333333	8.333333333	3.166666667	2	1.833333333	1	0.833333333	0.666666667	Macs_IFN_B1a_Macs_IFN_y
NCF1C	177	89	75.83333333	132.6666667	137.8333333	60	15	5.333333333	6.666666667	111.6666667	111.6666667	77.83333333	Macs_IFN_B1a_Macs_IFN_y
SDS	8.166666667	3	0.666666667	1	1	2.666666667	3.833333333	2	0.666666667	2.333333333	1.166666667	0	Macs_IFN_B1a_Macs_IFN_y
ANKRD22	108.8333333	20.33333333	5.666666667	5	12.16666667	1.666666667	23.16666667	25.33333333	6	14	54	7.166666667	Macs_IFN_B1a_Macs_IFN_y
CCL2	2869.5	2562.666667	1112.333333	733	614.3333333	335	502.8333333	509	55	44.33333333	31.66666667	7.166666667	Macs_IFN_B1a_Macs_IFN_y
GIMAP6	12	5	5.333333333	3.333333333	5	1.333333333	0.666666667	0	0	3.333333333	3.333333333	2.333333333	Macs_IFN_B1a_Macs_IFN_y
CCM2L	10.33333333	86	11	0.666666667	0.833333333	4.333333333	0.666666667	12.33333333	0.833333333	3.666666667	5.833333333	3.5	Macs_IL_10
DSC2	97.83333333	252.6666667	130.5	22.66666667	37.83333333	67.33333333	6.333333333	14.33333333	4.166666667	13.66666667	33.5	33	Macs_IL_10
FPGS	18.66666667	79	23.66666667	18.33333333	26.33333333	51	10	52.66666667	9.166666667	0	0.833333333	0.666666667	Macs_IL_10
KREMEN1	12.66666667	55.66666667	15	1.333333333	3.333333333	2.666666667	3.5	9.333333333	2.5	16.66666667	30.5	17.16666667	Macs_IL_10
LILRB2	466.5	973	506.8333333	259.6666667	319.8333333	528	79.66666667	287	55.33333333	85	91.66666667	55.16666667	Macs_IL_10
LMO4	27.16666667	57.66666667	24.83333333	20	27.33333333	22.33333333	27.16666667	15.66666667	11.83333333	10.33333333	11.33333333	8	Macs_IL_10
MAR2	97.33333333	303.6666667	113.5	40	70.83333333	129.6666667	17.83333333	62.33333333	12.5	30.33333333	38.5	18.83333333	Macs_IL_10
