gene	group	exp_level	sig_status	alternate
ADCY7	DCs_IFN_B1a	mid	poor	DCs_IFN_B1a_DCs_IFN_y
C14orf159	DCs_IFN_B1a	low	poor	
C17orf58	DCs_IFN_B1a	mid	poor	
CASP8	DCs_IFN_B1a	low	poor	
CD274	DCs_IFN_B1a	mid	poor	
DNAJC13	DCs_IFN_B1a	low	poor	
DRAP1	DCs_IFN_B1a	mid	okay	
EIF2AK4	DCs_IFN_B1a	low	poor	
IFT74	DCs_IFN_B1a	low	poor	
IRF4	DCs_IFN_B1a	low	poor	
IRF5	DCs_IFN_B1a	mid	poor	
KARS	DCs_IFN_B1a	mid	poor	
MAOA	DCs_IFN_B1a	mid	poor	
NR4A3	DCs_IFN_B1a	mid	good	
PSMA3	DCs_IFN_B1a	mid	poor	
RBMS2	DCs_IFN_B1a	low	okay	
SEC24D	DCs_IFN_B1a	mid	poor	
SLC27A3	DCs_IFN_B1a	mid	poor	
SOCS1	DCs_IFN_B1a	low	poor	
STK3	DCs_IFN_B1a	low	poor	
ZNF644	DCs_IFN_B1a	low	poor	
APOBEC3G	DCs_IFN_B1a	low	okay	
IFIH1	DCs_IFN_B1a	mid	okay	
JUP	DCs_IFN_B1a	mid	good	
KIAA0226	DCs_IFN_B1a	mid	good	
LGALS3BP	DCs_IFN_B1a	low	good	
PARP9	DCs_IFN_B1a	mid	poor	
PI4K2B	DCs_IFN_B1a	low	poor	
SSB	DCs_IFN_B1a	low	good	
TMEM110	DCs_IFN_B1a	low	good	
APOL4	DCs_IFN_B1a_DCs_IFN_y	low	okay	
ASPHD2	DCs_IFN_B1a_DCs_IFN_y	low	good	
CBR1	DCs_IFN_B1a_DCs_IFN_y	mid	good	
GRIN3A	DCs_IFN_B1a_DCs_IFN_y	low	good	
LAP3	DCs_IFN_B1a_DCs_IFN_y	low	good	
BANF1	DCs_IL_10	low	poor	
CIITA	DCs_IL_10	mid	poor	
MARCH1	DCs_IL_10	high	good	
MVP	DCs_IL_10	mid	poor	
PDCD1LG2	DCs_IL_10	mid	poor	
PMPCA	DCs_IL_10	low	okay	
SLC1A3	DCs_IL_10	low	good	
SLC1A3	DCs_IL_10	low	good	
TUBB3	DCs_IL_10	mid	good	
UQCRC1	DCs_IL_10	mid	poor	
IL21R	DCs_IL_10	mid	good	
AZI2	Macs_IFN_B1a	low	poor	
DUSP5	Macs_IFN_B1a	mid	poor	
FYCO1	Macs_IFN_B1a	low	poor	
GCNT2	Macs_IFN_B1a	low	okay	
GSDMD	Macs_IFN_B1a	low	poor	
LILRB2	Macs_IFN_B1a	mid	poor	
LSM2	Macs_IFN_B1a	low	poor	
NCF1C	Macs_IFN_B1a	mid	good	
P2RY6	Macs_IFN_B1a	mid	poor	
SAMHD1	Macs_IFN_B1a	low	poor	
SCARB2	Macs_IFN_B1a	mid	poor	
SDS	Macs_IFN_B1a	low	good	
SLFN11	Macs_IFN_B1a	low	poor	
PARP10	Macs_IFN_B1a	low	poor	
SP140L	Macs_IFN_B1a	low	poor	
CCM2L	Macs_IL_10	low	good	
CCM2L	Macs_IL_10	low	good	
DSC2	Macs_IL_10	mid	okay	
FPGS	Macs_IL_10	low	good	
KREMEN1	Macs_IL_10	low	good	
LILRB2	Macs_IL_10	high	okay	
LMO4	Macs_IL_10	low	good	
MARCH2	Macs_IL_10	mid	good	
MARCH2	Macs_IL_10	mid	good	
NLRC4	Macs_IL_10	low	good	
PNKD	Macs_IL_10	mid	good	
PNKD	Macs_IL_10	mid	good	
SEPW1	Macs_IL_10	mid	okay	
SLC16A10	Macs_IL_10	mid	good	
SLC16A10	Macs_IL_10	mid	good	
HEG1	Macs_IL_10	mid	okay	
SEMA4B	Macs_IL_10	mid	good	
STOM	Macs_IL_10	mid	good	
TLR8	Macs_IL_10	mid	okay	
DSC2	Macs_IL_4_Macs_IL_13	mid	poor	
EEPD1	Macs_IL_4_Macs_IL_13	mid	good	
ELK3	Macs_IL_4_Macs_IL_13	low	okay	
ELK3	Macs_IL_4_Macs_IL_13	low	okay	
IL3RA	Macs_IL_4_Macs_IL_13	mid	good	
IL3RA	Macs_IL_4_Macs_IL_13	mid	good	
PFKFB4	Macs_IL_4_Macs_IL_13	low	okay	
PFKFB4	Macs_IL_4_Macs_IL_13	low	okay	
SEPW1	Macs_IL_4_Macs_IL_13	mid	poor	
SLC1A4	Macs_IL_4_Macs_IL_13	low	good	
SLC26A6	Macs_IL_4_Macs_IL_13	low	good	
SLC26A6	Macs_IL_4_Macs_IL_13	low	good	
SLC5A3	Macs_IL_4_Macs_IL_13	mid	good	
SLFN11	Macs_IL_4_Macs_IL_13	low	okay	
TGM2	Macs_IL_4_Macs_IL_13	low	good	
TMEM52B	Macs_IL_4_Macs_IL_13	low	good	
CD1D	Macs_IL_4_Macs_IL_13	low	okay	
CH25H	Macs_IL_4_Macs_IL_13	low	poor	
ITSN1	Macs_IL_4_Macs_IL_13	low	poor	
KCNK6	Macs_IL_4_Macs_IL_13	low	okay	
SNAI3	Macs_IL_4_Macs_IL_13	low	good	
SORT1	Macs_IL_4_Macs_IL_13	mid	poor	
TRMT12	Macs_IL_4_Macs_IL_13	low	poor	
UGP2	Macs_IL_4_Macs_IL_13	mid	okay	
ABTB2	Monos_IFN_B1a	mid	poor	Monos_IFN_B1a_Monos_IFN_y
LOC101927284	Monos_IFN_B1a	low	poor	
RBBP6	Monos_IFN_B1a	mid	okay	Monos_IFN_B1a_Monos_IFN_y
SERPINB9	Monos_IFN_B1a	high	poor	Monos_IFN_B1a_Monos_IFN_y
SPSB1	Monos_IFN_B1a	low	poor	Monos_IFN_B1a_Monos_IFN_y
TMEM255A	Monos_IFN_B1a	low	okay	Monos_IFN_B1a_Monos_IFN_y
HELZ2	Monos_IFN_B1a	mid	poor	
NCOA7	Monos_IFN_B1a	mid	poor	
PARP14	Monos_IFN_B1a	mid	poor	
PLSCR1	Monos_IFN_B1a	mid	good	
SIGLEC1	Monos_IFN_B1a	low	poor	
ARNT2	Monos_IL_10	low	good	
ARNT2	Monos_IL_10	low	good	
DUSP2	Monos_IL_10	mid	poor	
KRT17	Monos_IL_10	low	good	
KRT17	Monos_IL_10	low	good	
TNFRSF21	Monos_IL_10	mid	good	
TNFRSF21	Monos_IL_10	mid	good	
TNIP3	Monos_IL_10	mid	good	
TNIP3	Monos_IL_10	mid	good	
ACPP	Monos_IL_10	low	good	
ADRB2	Monos_IL_10	low	good	
ATF3	Monos_IL_10	mid	poor	
CASP5	Monos_IL_10	low	good	
HAMP	Monos_IL_10	low	poor	
SBNO2	Monos_IL_10	mid	poor	
SLAMF1	Monos_IL_10	low	good	
SOCS3	Monos_IL_10	mid	poor	
SPATA13	Monos_IL_10	low	good	
STON2	Monos_IL_10	low	good	
ABTB2	Monos_IL_4_Monos_IL_13	low	poor	
DHRS9	Monos_IL_4_Monos_IL_13	low	good	
DHRS9	Monos_IL_4_Monos_IL_13	low	good	
GADD45A	Monos_IL_4_Monos_IL_13	low	good	
GADD45A	Monos_IL_4_Monos_IL_13	low	good	
IGSF3	Monos_IL_4_Monos_IL_13	low	good	
IGSF3	Monos_IL_4_Monos_IL_13	low	good	
MMP1	Monos_IL_4_Monos_IL_13	low	good	
MMP1	Monos_IL_4_Monos_IL_13	low	good	
PKD2	Monos_IL_4_Monos_IL_13	low	good	
PKD2	Monos_IL_4_Monos_IL_13	low	good	
PRNP	Monos_IL_4_Monos_IL_13	mid	good	
PRNP	Monos_IL_4_Monos_IL_13	mid	good	
PTGIR	Monos_IL_4_Monos_IL_13	low	okay	
PTGIR	Monos_IL_4_Monos_IL_13	low	okay	
SEMA3C	Monos_IL_4_Monos_IL_13	mid	good	
SEMA3C	Monos_IL_4_Monos_IL_13	mid	good	
SERPINB9	Monos_IL_4_Monos_IL_13	high	poor	
SLC4A7	Monos_IL_4_Monos_IL_13	low	okay	
SLC4A7	Monos_IL_4_Monos_IL_13	low	okay	
SPSB1	Monos_IL_4_Monos_IL_13	low	poor	
STXBP5-AS1	Monos_IL_4_Monos_IL_13	low	good	
STXBP5-AS1	Monos_IL_4_Monos_IL_13	low	good	
ADA	Monos_IL_4_Monos_IL_13	mid	poor	
ANXA1	Monos_IL_4_Monos_IL_13	mid	poor	
CCL5	Monos_IL_4_Monos_IL_13	mid	okay	
ITPRIPL2	Monos_IL_4_Monos_IL_13	mid	poor	
MCOLN2	Monos_IL_4_Monos_IL_13	low	poor	
MTMR11	Monos_IL_4_Monos_IL_13	low	poor	
SERPINB2	Monos_IL_4_Monos_IL_13	high	poor	
SMPDL3A	Monos_IL_4_Monos_IL_13	low	poor	
STAT4	Monos_IL_4_Monos_IL_13	low	poor	
TM4SF1	Monos_IL_4_Monos_IL_13	low	poor	
TMEM106A	Monos_IL_4_Monos_IL_13	mid	poor	
IL1RN	PMNs_IFN_B1a	high	poor	
LRG1	PMNs_IFN_B1a	low	okay	
PARP8	PMNs_IFN_B1a	low	okay	
PTK2B	PMNs_IFN_B1a	mid	poor	PMNs_IFN_B1a_PMNs_IFN_y
SH2B2	PMNs_IFN_B1a	low	poor	PMNs_IFN_B1a_PMNs_IFN_y
FANCA	PMNs_IFN_B1a	low	good	
TREX1	PMNs_IFN_B1a	mid	good	
FCGR1A	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
FCGR1A	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
FCGR1B	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
FCGR1B	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
P2RY14	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
P2RY14	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
BATF2	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
CD69	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
ETV7	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
FFAR2	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
GBP5	PMNs_IFN_B1a_PMNs_IFN_y	mid	okay	
GIMAP4	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
IFI16	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
IRF1	PMNs_IFN_B1a_PMNs_IFN_y	high	good	
LIMK2	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
NLRC5	PMNs_IFN_B1a_PMNs_IFN_y	low	poor	
PSMB9	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
SECTM1	PMNs_IFN_B1a_PMNs_IFN_y	high	good	
TAP1	PMNs_IFN_B1a_PMNs_IFN_y	mid	poor	
TIFA	PMNs_IFN_B1a_PMNs_IFN_y	mid	good	
ZNF200	PMNs_IFN_B1a_PMNs_IFN_y	low	good	
PTK2B	PMNs_IFN_lambda2	mid	poor	
ZSWIM8	PMNs_IFN_lambda2	low	poor	
CEBPD	PMNs_IFN_lambda2	low	poor	
