Genes stimulation
ANKRD22 Macs_IFN_B1a_Macs_IFN_y
CCL2 Macs_IFN_B1a_Macs_IFN_y
CCL7 Macs_IFN_B1a_Macs_IFN_y
GIMAP2 Macs_IFN_B1a_Macs_IFN_y
GIMAP6 Macs_IFN_B1a_Macs_IFN_y
MT2A Macs_IFN_B1a_Macs_IFN_y
PARP10 Macs_IFN_B1a
SP140L Macs_IFN_B1a
CCM2L Macs_IL_10
HEG1 Macs_IL_10
SLC16A10 Macs_IL_10
TLR8 Macs_IL_10
LILRB2 Macs_IL_10
MARCH2 Macs_IL_10
PNKD Macs_IL_10
SEMA4B Macs_IL_10
STOM Macs_IL_10
CD1D Macs_IL_4_Macs_IL_13
CH25H Macs_IL_4_Macs_IL_13
ITSN1 Macs_IL_4_Macs_IL_13
SLFN11 Macs_IL_4_Macs_IL_13
KCNK6 Macs_IL_4_Macs_IL_13
SLC26A6 Macs_IL_4_Macs_IL_13
SNAI3 Macs_IL_4_Macs_IL_13
TRMT12 Macs_IL_4_Macs_IL_13
PFKFB4 Macs_IL_4_Macs_IL_13
SEPW1 Macs_IL_4_Macs_IL_13
UGP2 Macs_IL_4_Macs_IL_13
DSC2 Macs_IL_4_Macs_IL_13
SORT1 Macs_IL_4_Macs_IL_13
ELK3 Macs_IL_4_Macs_IL_13
IL3RA Macs_IL_4_Macs_IL_13
ASPHD2 DCs_IFN_B1a_DCs_IFN_y
CBR1 DCs_IFN_B1a_DCs_IFN_y
GRIN3A DCs_IFN_B1a_DCs_IFN_y
LAP3 DCs_IFN_B1a_DCs_IFN_y
APOBEC3G DCs_IFN_B1a
IFIH1 DCs_IFN_B1a
JUP DCs_IFN_B1a
KIAA0226 DCs_IFN_B1a
LGALS3BP DCs_IFN_B1a
PARP9 DCs_IFN_B1a
PI4K2B DCs_IFN_B1a
SSB DCs_IFN_B1a
TMEM110 DCs_IFN_B1a
IL21R DCs_IL_10
SLC1A3 DCs_IL_10
APOL6 Monos_IFN_B1a_Monos_IFN_y
GCH1 Monos_IFN_B1a_Monos_IFN_y
IL15 Monos_IFN_B1a_Monos_IFN_y
IL15RA Monos_IFN_B1a_Monos_IFN_y
IL27 Monos_IFN_B1a_Monos_IFN_y
ISG20 Monos_IFN_B1a_Monos_IFN_y
MTHFD2L Monos_IFN_B1a_Monos_IFN_y
IRG1 Monos_IFN_B1a_Monos_IFN_y
HELZ2 Monos_IFN_B1a
NCOA7 Monos_IFN_B1a
PARP14 Monos_IFN_B1a
PLSCR1 Monos_IFN_B1a
SIGLEC1 Monos_IFN_B1a
ADRB2 Monos_IL_10
SBNO2 Monos_IL_10
ATF3 Monos_IL_10
SLAMF1 Monos_IL_10
SOCS3 Monos_IL_10
TNIP3 Monos_IL_10
ACPP Monos_IL_10
ARNT2 Monos_IL_10
CASP5 Monos_IL_10
HAMP Monos_IL_10
KRT17 Monos_IL_10
SPATA13 Monos_IL_10
STON2 Monos_IL_10
TNFRSF21 Monos_IL_10
ABTB2 Monos_IL_4_Monos_IL_13
CCL5 Monos_IL_4_Monos_IL_13
MCOLN2 Monos_IL_4_Monos_IL_13
MTMR11 Monos_IL_4_Monos_IL_13
SERPINB9 Monos_IL_4_Monos_IL_13
STAT4 Monos_IL_4_Monos_IL_13
MMP1 Monos_IL_4_Monos_IL_13
SLC4A7 Monos_IL_4_Monos_IL_13
SPSB1 Monos_IL_4_Monos_IL_13
TM4SF1 Monos_IL_4_Monos_IL_13
DHRS9 Monos_IL_4_Monos_IL_13
IGSF3 Monos_IL_4_Monos_IL_13
ITPRIPL2 Monos_IL_4_Monos_IL_13
PTGIR Monos_IL_4_Monos_IL_13
SEMA3C Monos_IL_4_Monos_IL_13
STXBP5-AS1 Monos_IL_4_Monos_IL_13
GADD45A Monos_IL_4_Monos_IL_13
PKD2 Monos_IL_4_Monos_IL_13
ADA Monos_IL_4_Monos_IL_13
