GeneSymbol	Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13
GCNT2	13.6666666666667	13.6666666666667	9.5	5.33333333333333	6.33333333333333	8.33333333333333	3.16666666666667	2	1.83333333333333	1	0.833333333333333	0.666666666666667
NCF1C	177	89	75.8333333333333	132.666666666667	137.833333333333	60	15	5.33333333333333	6.66666666666667	111.666666666667	111.666666666667	77.8333333333333
SDS	8.16666666666667	3	0.666666666666667	1	1	2.66666666666667	3.83333333333333	2	0.666666666666667	2.33333333333333	1.16666666666667	0
ANKRD22	108.833333333333	20.3333333333333	5.66666666666667	5	12.1666666666667	1.66666666666667	23.1666666666667	25.3333333333333	6	14	54	7.16666666666667
CCL2	2869.5	2562.66666666667	1112.33333333333	733	614.333333333333	335	502.833333333333	509	55	44.3333333333333	31.6666666666667	7.16666666666667
GIMAP6	12	5	5.33333333333333	3.33333333333333	5	1.33333333333333	0.666666666666667	0	0	3.33333333333333	3.33333333333333	2.33333333333333
CCM2L	10.3333333333333	86	11	0.666666666666667	0.833333333333333	4.33333333333333	0.666666666666667	12.3333333333333	0.833333333333333	3.66666666666667	5.83333333333333	3.5
DSC2	97.8333333333333	252.666666666667	130.5	22.6666666666667	37.8333333333333	67.3333333333333	6.33333333333333	14.3333333333333	4.16666666666667	13.6666666666667	33.5	33
FPGS	18.6666666666667	79	23.6666666666667	18.3333333333333	26.3333333333333	51	10	52.6666666666667	9.16666666666667	0	0.833333333333333	0.666666666666667
KREMEN1	12.6666666666667	55.6666666666667	15	1.33333333333333	3.33333333333333	2.66666666666667	3.5	9.33333333333333	2.5	16.6666666666667	30.5	17.1666666666667
LILRB2	466.5	973	506.833333333333	259.666666666667	319.833333333333	528	79.6666666666667	287	55.3333333333333	85	91.6666666666667	55.1666666666667
LMO4	27.1666666666667	57.6666666666667	24.8333333333333	20	27.3333333333333	22.3333333333333	27.1666666666667	15.6666666666667	11.8333333333333	10.3333333333333	11.3333333333333	8
MARCH2	97.3333333333333	303.666666666667	113.5	40	70.8333333333333	129.666666666667	17.8333333333333	62.3333333333333	12.5	30.3333333333333	38.5	18.8333333333333
NLRC4	16.1666666666667	67.6666666666667	29.3333333333333	9.33333333333333	18.3333333333333	32	1.66666666666667	0.666666666666667	1.83333333333333	10.6666666666667	13.3333333333333	23.3333333333333
