B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE	sample
0	0	0	0.0421976849933892	0	0.0878588982428891	0.00920646420988602	0	0.0914878503079061	0	0.0896498502818388	0	0	0	0.0559540960199099	0.0865022260819238	0	0.0146116781826965	0	0.42696870554107	0.00946326940153359	0.0860992767369564	0.14	0.0732082522828014	1.10871417864581	GSM1356732
0.145975111857918	0	0	0.182788789736295	0	0.0239785657978501	0	0.035543633973756	0	0	0	0.0619318640147407	0	0	0.0161810800093442	0.0563274912674596	0	0.046935755589547	0	0.354461188848857	0.0232279898279125	0.052648529076319	0.19	0.0589661099447784	1.09544008024263	GSM1356733
0.0036987003889311	0	0.0923531004849885	0.230498943811584	0	0.0182503703220717	0.11084005749609	0.170681625667741	0	0	0	0.0452765308506936	0	0.010454945087248	0	0.019491187459009	0	0	0.220044086530851	0	0.0781990697362317	0.000211382164560861	0.87	-0.0225543604905991	1.10884353435753	GSM1356734
0	0.0658798588083486	0.0953418207929828	0.169292160737743	0	0	0.0428734472729881	0	0	0.163633398832355	0	0.00980612610905399	0	0	0	0.0313325443173344	0.099818343929998	0	0	0.120456564993208	0.0923352013711093	0.109230532834879	0.86	-0.0205646680733491	1.09757095178347	GSM1356735
0	0.0862179492288488	0.361073612573098	0.0194160604933674	0	0.032779897508624	0	0	0.0218679391166203	0	0	0.0345176177651046	0.00893044509294985	0	0.023897229550692	0.142399866913708	0.0236227163084026	0	0.169761777163516	0	0	0.0755148882850682	0.53	0.011013770074601	1.04880558577762	GSM1356736
0	0.0381962244533529	0.123107089412293	0.0506486907870669	0	0.036818583612627	0	0.102384356359846	0	0.0764106097192541	0	0	0	0	0	0.0267655439793656	0.0574569497598238	0.00233084242082747	0	0.485881109495543	0	0	0.71	-0.0104438490700817	1.15365068295803	GSM1356737
0	0.0964045843148555	0.0788643239075048	0	0.0483868886235382	0	0	0	0	0	0.0460784037415486	0	0.0448380670286665	0	0.0492156065178774	0.220012487920402	0	0	0	0.315918790750668	0.0285918708930308	0.0716889763019086	0.45	0.0268452934042318	1.09607573820014	GSM1356738
0.0608701524250629	0	0	0.052092669453715	0	0	0.0342644926788542	0	0.114974911606408	0	0.0216675242862979	0	0	0.29454552133967	0	0.0223678578876608	0	0.14392712425113	0.229999943298578	0	0.000137351595017802	0.0251524511776055	0.68	-0.00460432466810022	1.11099765792579	GSM1356739
0.0880794509929437	0	0.0738812413564254	0	0.325843871974144	0	0	0.10292636828669	0	0	0.141234139893158	0	0	0.0973683429542251	0	0	0	0	0.141366218506113	0	0	0.0293003660363004	0.69	-0.00849194902271965	1.10600985337526	GSM1356740
0.17945511387552	0	0	0	0.329084572058504	0.106168615448069	0	0	0	0.105952105342692	0	0.033060587245734	0	0	0	0.0300960632186917	0.150675523726449	0	0.065507419084341	0	0	0	0.89	-0.0246045677219333	1.12820687750072	GSM1356741
0	0.19960266232351	0	0.0314301416529575	0.0113890581108375	0.13395706007476	0.0659027027146517	0	0	0	0.0249600474766533	0	0.051717700520691	0	0	0.149774463228788	0.0579438423091369	0.0544322190817776	0.0981961650362961	0	0.0602126054968709	0.06048133197307	0.94	-0.0355549806134741	1.08047279714425	GSM1356742
0.0098321029464359	0	0.221886287859226	0.0535089138915216	0	0.0452691074059484	0	0.0555290925205503	0.0120166602429932	0	0	0.0596032301842771	0.0404283269048091	0	0.0284527139730829	0.00999768848053367	0.0389597315498353	0.0187272608789004	0	0.405788883161886	0	0	0.32	0.0383961311391302	1.09525751700668	GSM1356743
0	0	0	0	0.22451789444108	0	0	0	0.168983201059698	0	0.150803229172033	0	0.172552283077752	0.0133073797578873	0	0	0	0.0245640980849969	0.245271914406553	0	0	0	0.91	-0.0320865932988287	1.12072454971155	GSM1356744
0	0	0	0	0.0954127839597445	0	0.105985204397321	0.0194151914797978	0	0	0.0946795789210675	0	0.0524184077829125	0	0	0.222954498863314	0.123593118936503	0.0425069989626132	0.121258796803109	0	0	0.121775419893617	0.89	-0.0279628039046112	1.096351053303	GSM1356745
0	0.00121184976936871	0	0.432447964737576	0	0	0	0.0591631299791191	0.191884569257128	0	0.0372227909115083	0	0	0.0317427978888394	0	0	0	0.0875233088917841	0	0.155958024071351	0.00284556449332591	0	0.65	-0.00269286021608552	1.15371537922897	GSM1356746
