Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE	sample
0	0.0829895589965658	0.0555646451152864	0	0.125113801900996	0.0681723232154802	0.015990401669907	0	0	0.323009939908002	0.223800825833069	0.105358503360694	0	0.724518812234945	0.690954749830172	X579
0	0.131766680715096	0	0	0.421137534187314	0	0.017757498939394	0.0095535590641559	0	0.278801661832305	0.109692980199856	0.0312900850618789	0	0.653332664090577	0.754734184497953	X567
0	0.0413890780345377	0.151395524363118	0	0.270356604190156	0.0555454041202491	0.0746960883330942	0	0	0.071675583884533	0.3272340117647	0.00770770530961168	0	0.668660257412292	0.741210254791496	X544
0	0.0416806582377794	0.164826622744726	0	0.0788610143810296	0.166229738600884	0	0	0	0.302458045140254	0.245943920895327	0	0	0.696406925906725	0.716963174458953	X582
0	0.111186196051715	0.104770355527689	0	0.398244768006801	0.00842203979910604	0.0536572739002506	0	0	0	0.323719366714438	0	0	0.529715207153152	0.862284544327066	X527
0.0134716124413232	0	0.0183256417733779	0	0.162691572936996	0.193568599101723	0	0	0	0.361932478748752	0.250010094997828	0	0	0.829829483066493	0.578144209708702	X521
0	0.0531767613811933	0.133489630645301	0	0.133428083920925	0	0.048255718572259	0	0	0.477221353882429	0.154428451597894	0	0	0.757087428168915	0.655591253714054	X655
0	0.0628331830668551	0.0916285651381507	0	0.354750015767204	0.0217455061424074	0.103158504914402	0	0	0.0634658479263819	0.271398633891122	0.0310197431534764	0	0.627869090219319	0.775647720826203	X663
0	0.115250677980991	0	0	0.0377135899967662	0.176705887548953	0	0	0	0.177133939283907	0.374698182444392	0.11849772274499	0	0.730967492098465	0.682544912727709	X660
0	0.0702586446525329	0.0416071007368997	0	0.240080047569173	0.210767025211771	0.0276917571234332	0	0	0.19550609415946	0.21408933054673	0	0	0.655021736133713	0.753463855640831	X571
0	0	0	0	0.514814754176889	0.0525145548557347	0.0453426496927856	0	0	0	0.387328041274591	0	0	0.790986641742811	0.621348460883822	X568
0	0.0723917071959485	0.00605393931762761	0	0.411735789071454	0.031105648912622	0	0.0016805170116248	0	0.302936518829251	0.174095879661472	0	0	0.729256622309163	0.684930072047818	X565
0	0.035136916103782	0	0	0.421062561921991	0.123365122569028	0.0446993453859109	0	0	0	0.375736054019288	0	0	0.703297205390759	0.709867580298148	X569
0	0.0468030757063518	0.0669893175920325	0	0.416871188427303	0	0.0689744860475978	0.0282665080469254	0	0.365215056044765	0	0.00688036813502461	0	0.646580983375512	0.761621717707745	X566
0	0.0634352589444517	0.128932674877125	0	0.243359985488233	0.0966201335868758	0	0	0	0.0995813852953728	0.323242902621459	0.0448276591864832	0	0.636502561708743	0.768568494245145	X574
0	0.0227134437404993	0.037477493466571	0	0.423708163495745	0.0645175543035178	0	0.00872702598587256	0	0	0.442856319007795	0	0	0.723137552399843	0.689172047317177	X575
0.00181226181856131	0.0700420138991588	0.0405034155048677	0	0	0.217695349297014	0	0	0	0.239230082253078	0.350170892871916	0.0805459843554046	0	0.769948187719459	0.643906878233215	X425
0	0.0607288723322508	0.0295559308161912	0	0.324349579792375	0.142261624519749	0.0058980683533059	0	0	0.0533785204821188	0.383827403704009	0	0	0.731306975988855	0.682258744853356	X572
0	0.162692862657554	0.0373161264443578	0	0.234336307660044	0.110617185152791	0.108922753793567	0	0	0.0533029724095096	0.244403654524538	0.048408137357638	0.01	0.513881394271465	0.870706576042704	X616
0	0.0328335631296143	0	0	0.27274782593024	0.13563874301876	0.0876055720072286	0	0	0.0605353052068957	0.34778265608437	0.0628563346228914	0	0.655316895494638	0.752858396350444	X570
0	0.0868532816310882	0.013877328020868	0	0.159606852310646	0.206349030792169	0.0440391875844194	0	0	0	0.48927431966081	0	0	0.780634046025429	0.628513762502214	X517
0	0.0890082460385249	0.157526176898729	0	0.162338041965229	0.0695422965803844	0.0136527110796418	0	0	0.205468734416516	0.302463793020975	0	0	0.639943964516151	0.767331106825396	X539
0	0.13901964037464	0.0828889578201597	0	0.176645256536134	0.156515382045756	0	0	0.0465615780568647	0	0.398369185166445	0	0.01	0.514046986431251	0.873847688620385	X477
0	0.018636979363781	0.0745310337100143	0	0.408651946740219	0.0123825035452178	0.0530871991821922	0.00580379945108092	0	0	0.426906538007495	0	0	0.730046335270298	0.682532758860829	X294
0	0.0453189375454097	0.0299005370966137	0	0.220788200752317	0.0137985978813377	0.0337614246798367	0	0	0.656432302044485	0	0	0	0.83533191844012	0.572894834115197	X480
0	0.00699559437128671	0.0776220677683339	0	0.192843066697992	0.200250486545074	0	0	0	0	0.507439698913434	0.0148490857038791	0	0.742683190667159	0.669666775440189	X423
0	0.0386717563756953	0.227457985773207	0	0.154020167842402	0.105648495963781	0	0	0	0.342309390683706	0.131892203361207	0	0	0.553035857076044	0.831674024581298	X496
0.00614849048924491	0.0421147664105465	0.00629754444360719	0	0	0.181402832679876	0	0	0	0.377511995005336	0.323874677837517	0.0626496931338731	0	0.790917781330858	0.614813373272383	X428
0	0.124708069355184	0.083371133439559	0	0	0.102464244495616	0.0183876920190081	0	0	0.272697441801865	0.2922963115157	0.106075107373068	0	0.689629068815705	0.722187349182913	X626
0	0.146949244085731	0.0248812286926965	0	0.246775511662182	0	0.0260177470044112	0	0	0.231899365287017	0.263699452558948	0.0597774507090146	0	0.661384116086225	0.749606729476965	X649
0	0.152036055474445	0.0262477964440408	0	0.203105544014597	0.0581665043790142	0.0588847346449186	0	0	0	0.436702439388829	0.0648569256541557	0	0.627782902191787	0.78313937190348	X652
