GeneSymbol	GSM709413	GSM709414	GSM709415	GSM709416	GSM709417	GSM709418	GSM709419	GSM709420	GSM709421	GSM709422	GSM709423	GSM709424	GSM709425	GSM709426	GSM709427	GSM709428	GSM709429	GSM709430	GSM709431	GSM709432	GSM709433	GSM709434	GSM709435	GSM709436	GSM709437	GSM709438	GSM709439	GSM709440	GSM709441	GSM709442	GSM709443	GSM709444	GSM709445	GSM709446	GSM709447	GSM709448	GSM709449	GSM709450	GSM709451	GSM709452	GSM709453	GSM709454	GSM709455	GSM709456	GSM709457	GSM709458	GSM709459	GSM709460	GSM709461	GSM709462	GSM709463	GSM709464	GSM709465	GSM709466	GSM709467	GSM709468	GSM709469	GSM709470	GSM709471	GSM709472	GSM709473	GSM709474	GSM709475	GSM709476	GSM709477	GSM709478	GSM709479	GSM709480	GSM709481	GSM709482	GSM709483	GSM709484	GSM709485	GSM709486	GSM709487	GSM709488	GSM709489	GSM709490	GSM709491	GSM709492	GSM709493	GSM709494	GSM709495	GSM709496	GSM709497	GSM709498	GSM709499	GSM709500	GSM709501	GSM709502	GSM709503	GSM709504	GSM709505	GSM709506	GSM709507	GSM709508	GSM709509	GSM709510	GSM709511	GSM709512	GSM709513	GSM709514	GSM709515	GSM709516	GSM709517	GSM709518	GSM709519	GSM709520
CXorf57	97.470935	25.88009	16.25057	22.941965	33.4111345	39.948413	27.302297	32.2877135	15.374575	21.1589005	22.1970265	19.479068	11.2407795	78.713415	87.821042	34.397913	2.7051105	1.7675085	4.19051	1.534336	2.506893	2.8367015	26.055472	16.5893575	12.675687	11.960858	2.659095	8.826212	19.5417325	12.3861045	15.7009905	36.5281615	28.368159	78.124402	24.7248765	26.593372	75.227045	15.80275	37.123135	26.7375	17.820485	24.36206	38.969425	23.475231	33.200905	17.0498865	20.908603	67.788725	46.545682	27.5709905	11.754202	4.3454045	26.130271	25.541697	28.1211655	53.4334255	13.515197	36.063939	29.9980225	19.415937	17.3095505	16.3895485	16.875334	66.230742	28.745485	15.432521	15.345321	23.084586	14.071958	34.6458125	33.5642185	18.2821215	9.149465	19.92037	8.570741	5.4029355	33.8170245	22.9999525	61.4322185	103.596298	18.805269	31.6524685	43.7415315	30.358107	51.202278	48.399165	53.658988	33.719437	14.17459	7.7969775	19.3786235	28.535955	13.5702815	8.8015555	28.872446	21.243528	11.5169196	19.068575	20.1159039	17.289474	27.4752915	24.8230605	9.2878815	24.722321	20.1968405	15.19601	36.785204	67.303637
ICA1	169.438665	173.78656	263.90433	172.54737	109.80151	117.141995	129.711395	140.56411	120.31094	152.96002	91.954125	75.792505	238.10257	446.335	313.26039	270.553995	19.06489	14.815778	22.927483	18.0032275	119.80528	104.1205	158.963425	175.689335	142.2734	297.339395	179.008834	155.839325	355.41354	152.81677	138.54326	227.20377	259.65794	177.25546	437.86608	409.915895	156.90947	139.050245	83.30291	213.589115	101.730588	223.15025	158.918145	265.83655	207.890995	239.159695	252.99394	205.00101	269.853185	143.13977	120.696615	187.307735	224.715965	151.251465	195.38506	251.261895	201.2574915	251.45276	291.86579	189.093945	237.687485	160.61858	140.51495	125.289155	131.192135	164.56477	142.94626	114.4802	144.74477	115.32878	223.3751	155.11994	160.519935	81.6047	81.287545	134.749295	136.484145	253.03025	218.719849	271.05025	166.24251	154.481365	214.908305	85.959125	272.08288	384.95235	127.310035	164.50208	263.934355	126.073245	121.65222	127.41621	104.2239	73.18185	149.842015	176.90598	113.466315	130.955255	123.114975	107.599285	123.083185	173.452485	147.42262	133.5956065	129.915835	110.2991	143.27883	116.390575
IFNG	96.005179	34.64853	31.561645	22.0366651	30.822242	59.520899	28.751741	25.468718	13.5277787	54.571285	14.0650237	9.9228302	18.6740122	77.648278	136.05164	65.907319	5.0044425	2.2097335	3.7891809	2.01360598	2.161623	2.3512583	44.904098	14.4906435	16.478357	47.470597	2.3068687	6.117072	14.344344	3.5264355	18.57143	11.8680678	11.5733206	71.931136	40.564584	5.9822567	132.76374	27.735527	38.437572	23.458967	19.0746413	64.785409	28.688361	41.946368	36.249056	20.9256536	25.60813	40.092521	84.675258	50.345755	10.2126189	4.7805546	5.5547976	24.999892	14.799356	54.24796	10.6140032	31.02205	24.896702	9.1333392	16.200151	5.2815414	7.7578919	59.201533	21.218618	12.9237375	5.5014783	18.145662	16.393774	73.037773	74.983529	18.770103	17.159399	8.095184	3.1216594	6.1104453	31.635877	21.622915	71.394622	42.513658	10.0022237	21.642537	28.992008	11.2922388	33.439014	26.718715	16.963429	43.879757	14.9034702	3.7430224	38.274947	16.923377	21.113951	19.066443	13.1505091	23.111925	9.8804089	6.8071799	19.527517	39.000061	20.691363	18.489562	11.2136065	27.839121	93.043234	26.823498	16.169581	65.757898
PRNP	37458.2606363636	36137.9611181818	36359.1775818182	35391.9029272727	28248.8151818182	31855.8033636364	31300.5784909091	38302.3951454545	36992.5598081818	35740.1489545455	34639.6764636364	34542.2372727273	36987.4508363636	41047.806	41027.3677272727	41084.8093545455	4269.22768181818	3754.46398636364	4124.95166363636	3776.35727181818	43384.7375990909	40471.1629663636	36993.9679545455	37671.1791545455	41898.4130454545	36495.7181090909	37650.7519336364	38030.4860636364	45795.6039727273	42427.4540181818	46739.7505	37706.3742727273	43840.1295818182	41336.7298181818	38928.0145181818	37901.9045818182	36990.0537272727	34727.1632909091	35133.5179545455	36495.3006	41409.7898181818	38841.1418272727	37490.2639090909	39686.0577272727	30612.4081727273	30525.6835818182	37758.3264	41154.9003636364	44780.1991818182	40569.4094363636	39727.0845909091	44045.9708272727	47227.2328727273	45878.5563181818	43803.4119181818	44773.0419090909	43213.9892454545	48352.6481818182	46143.3307272727	40409.8392727273	45970.3134909091	41812.6467454545	41177.4087090909	42698.8549090909	39996.5176454545	32793.0880727273	33541.5650909091	35014.0543272727	31146.3899	31106.7877272727	32997.3041818182	32676.0682090909	37800.1533454545	34665.9774181818	30729.6497818182	40452.6472636364	44063.9302727273	42231.6762727273	43825.5236363636	41288.9701818182	26786.1713454545	30664.1438181818	33382.8575454545	26048.9242454545	38058.9132727273	35372.989	32269.2103636364	34354.1638090909	31316.1903454545	33619.7887272727	30523.4408636364	29385.1169090909	28006.7317727273	30323.6811818182	31321.8207272727	30736.2601636364	38410.8820090909	38778.5799090909	37589.7583	33824.1476727273	39154.6339090909	35808.4732090909	38045.1324454545	21681.6205363636	36641.3242909091	34325.7462727273	36629.6803636364	35878.7015454545
ABCA5	399.20225	329.04485	108.28791	194.0201	384.24595	243.60305	195.13365	281.57555	13.2564	286.6274	170.7805	54.331565	185.98695	633.2607	632.4399	393.99455	47.818635	11.0220725	44.117525	8.988709	20.568109	61.26746	289.45355	200.7878	107.35382	112.810865	53.561425	133.69419	154.67857	118.54127	103.5657	309.5744	279.53505	390.44755	213.31405	309.2759	713.5597	90.739445	292.08985	32.545325	125.01504	137.5984	291.13325	342.4338	168.64385	80.87259	89.259385	417.7163	302.47975	286.7536	189.6476	86.11238	278.4152	261.4619	177.1713	301.4655	118.2519	262.2056	247.13985	309.71865	313.55	195.5757	81.38895	422.98075	253.2245	126.7746	243.34965	135.75935	138.41503	144.80905	372.25585	233.1488	88.0096	143.6954	42.11915	48.91941	396.13215	281.06115	404.4516	914.3972	196.0189	406.30975	441.04815	247.7461	409.17945	345.54435	497.45215	223.44465	152.41597	66.722595	99.242775	157.4158	215.1677	138.65915	276.38195	287.35655	141.45478	220.38645	204.3517	338.66505	450.219	207.7773	159.30917	148.70825	416.4166	234.63415	480.8889	401.381
ABCB1	54.349339	52.459776	44.913191	14.272291	16.6454034	43.22924	28.3492374	16.574724	11.9049829	12.7180564	30.953847	7.6824659	16.0418102	70.098081	73.140841	15.1787923	4.1093758	2.7040785	13.107037	2.2269003	28.793016	24.364863	53.912855	27.160464	86.936897	64.609535	18.8629383	36.673108	47.995425	57.261311	32.338081	88.486046	61.831757	78.413719	41.666315	61.134024	45.60384	22.1341439	31.576531	11.7523954	20.4153855	18.4730087	22.9163442	70.980224	88.287476	14.8604172	14.0478848	96.553347	51.639082	67.77224	84.454789	20.8425434	82.580344	61.477274	70.265808	84.137967	25.0718689	95.377612	103.539859	81.709574	69.508705	90.698292	33.538234	95.998924	86.050073	49.436263	42.976201	23.256573	26.729768	61.266502	78.854074	42.527767	20.5954674	43.056944	21.816237	20.546997	89.156356	57.823117	150.58665	178.47363	68.970336	102.109332	113.86621	62.556577	135.39581	178.47689	88.812739	47.24356	29.434161	21.873449	67.744826	30.676884	29.821508	20.206041	39.341205	35.790763	35.363449	29.141591	50.815929	35.369737	43.875332	46.752192	58.183031	73.272589	35.813497	75.438367	106.498054	96.654331
ABCB4	9.820718	9.350578	7.28906	7.396403	4.33678	3.902394	4.987554	6.06433	6.68785	5.333266	3.986338	6.328751	5.210235	5.771544	6.835217	5.85027	0.8608698	0.8866619	0.9017069	0.8881388	1.86228	5.078889	16.75214	4.320465	3.662164	2.987879	4.424325	10.47212	12.15915	15.63681	3.990649	5.680967	17.05554	13.65634	1.998265	8.774184	8.093014	6.777547	6.544635	9.323145	6.740507	6.794191	9.796771	7.095103	6.256508	7.341576	6.668838	7.169646	3.443832	13.56676	11.07436	1.548922	18.25204	2.599105	9.510385	6.746323	3.682411	11.6434	4.694309	14.29932	5.937422	12.25045	1.878464	3.555032	2.565267	13.00149	14.09731	13.34995	2.69025	2.63684	2.273394	8.609155	3.140264	9.163519	5.100395	3.706276	7.927951	10.11261	10.14668	15.22276	29.77517	31.92119	11.27161	5.926954	3.92736	5.275124	25.5188	6.86483	3.144392	4.133262	1.630399	1.840407	26.40933	1.525739	9.839	1.699794	7.894085	8.703589	4.861035	5.032833	16.5896	10.37774	21.72604	1.81955	1.820545	3.059649	30.00361	12.20456
ABCB9	17.3176275	13.1871585	16.687229	34.5945375	22.234924	42.2293505	9.617296	10.8270315	6.837794	8.3318525	14.9674	6.459759	10.536301	20.485892	22.6201115	13.9885525	1.56356645	0.90718595	1.74777655	1.8544401	5.885532	25.352086	26.062088	22.887738	15.0613885	24.22061	9.9825875	20.43484	21.80052	18.794254	10.0537255	29.9884615	16.027185	28.122995	6.8689265	12.8885385	24.117985	13.608783	18.24647	13.9642725	9.7665505	12.54089	25.157994	35.829642	27.0481455	12.9292245	13.4041405	24.600074	13.0781435	22.57627	12.431573	3.859485	15.8992305	21.9843895	23.3034075	9.261819	8.456187	11.704315	17.60629	41.14922	9.145151	6.3372445	10.349687	20.9496345	12.206147	9.1336155	9.9112165	6.2787575	5.6640395	6.206517	12.59872	8.5317345	5.301318	17.0619275	10.180611	4.1672325	12.2601335	32.4477895	10.1834795	20.6366845	18.0418505	16.685609	12.9954605	9.705598	41.582645	8.2134795	21.8819675	7.816965	13.7609815	13.5125925	8.936348	15.5340085	15.0304865	7.1201185	8.2004885	2.503688	23.9380005	19.5695955	5.234513	14.76480055	31.093974	20.6096895	16.6633175	14.4224695	16.395049	12.520371	29.487412	23.272404
ABHD5	669.5287	1036.237	970.5624	1222.182	2271.543	730.6872	1379.292	773.9283	493.767	1834.84	1338.308	1936.28	1373.99	2449.971	2045.724	1578.602	135.0452	131.367	472.0879	89.57642	693.8641	1514.966	695.5874	1045.827	999.0647	1146.896	778.9562	1675.224	2121.083	1769.334	1513.154	4434.717	1200.404	919.847	1148.988	2667.83	1132.514	1186.599	1254.747	673.3527	1221.041	724.7466	3258.262	1456.218	803.3132	2083.323	832.5595	1623.056	1071.567	1250.09	1349.257	1100.998	2938.105	1414.881	1276.992	1699.026	1209.588	3417.812	4050.512	2573.918	2159.261	1927.129	2103.525	1120.551	1137.49	1243.32	1155.212	603.7925	1096.573	2468.059	2096.02	1755.476	2163.536	1511.973	1677.054	927.3165	867.8851	2794.995	1967.181	1940.356	1149.039	1024.691	2254.331	1357.065	1751.297	1953.707	3526.205	1407.794	1507.309	1981.337	1853.931	1879.305	2363.453	4606.127	1768.897	1255.857	1513.215	1190.57	1161.176	968.4626	1059.759	1313.97	1489.724	1363.716	749.8275	1472.846	1535.191	1775.651
ACAP1	512.04395	477.10145	425.5923	457.82895	562.8903	522.8671	360.4459	339.83365	135.937605	329.13025	506.78375	260.0905	383.65485	991.01425	536.4772	329.61985	66.621495	28.670285	104.83237	38.560645	351.2224	480.06735	443.4907	333.36155	757.3214	820.71265	161.15675	604.87705	689.84285	772.8686	412.12995	851.4721	721.92185	1016.71785	249.6119	644.33115	598.82885	288.8479	510.2538	179.433235	319.81555	248.93915	484.60325	1037.5579	543.4704	494.006	203.933935	864.55565	293.1663	643.6371	691.3253	265.381	869.8172	564.262	404.6757	568.91555	322.88485	854.54765	716.3134	1070.93365	675.71315	573.5538	342.0261	616.64675	516.05535	626.99135	591.8144	459.8401	220.59875	586.44695	632.9091	527.01945	345.00815	477.8242	552.96605	221.2566	531.9677	425.5257	530.5128	998.8183	503.57285	633.40335	622.22385	465.60135	580.9656	832.7842	872.59145	403.3901	625.0863	393.9823	314.7961	461.61435	871.893	838.2219	505.0985	248.67269	701.09995	438.12095	454.45485	361.1396	809.8208	616.17635	721.6476	353.1434	621.47005	752.51445	1102.0954	792.57555
