GeneSymbol	GSM1249177	GSM1249178	GSM1249179	GSM1249180	GSM1249181	GSM1249182	GSM1249183	GSM1249184	GSM1249185	GSM1249186	GSM1249187	GSM1249188	GSM1249189	GSM1249190	GSM1249191	GSM1249192	GSM1249193	GSM1249194	GSM1249195	GSM1249196	GSM1249197	GSM1249198	GSM1249199	GSM1249200	GSM1249201	GSM1249202	GSM1249203	GSM1249204	GSM1249205	GSM1249206	GSM1249207	GSM1249208	GSM1249209	GSM1249210	GSM1249211	GSM1249212	GSM1249213	GSM1249214	GSM1249215	GSM1249216	GSM1249217	GSM1249218	GSM1249219	GSM1249220	GSM1249221	GSM1249222	GSM1249223	GSM1249224	GSM1249225	GSM1249226	GSM1249227	GSM1249228	GSM1249229	GSM1249230	GSM1249231	GSM1249232	GSM1249233	GSM1249234	GSM1249235	GSM1249236	GSM1249237	GSM1249238	GSM1249239	GSM1249240	GSM1249241	GSM1249242	GSM1249243	GSM1249244	GSM1249245	GSM1249246	GSM1249247	GSM1249248	GSM1249249	GSM1249250	GSM1249251	GSM1249252	GSM1249253	GSM1249254	GSM1249255	GSM1249256	GSM1249257	GSM1249258	GSM1249259	GSM1249260	GSM1249261	GSM1249262	GSM1249263	GSM1249264	GSM1249265	GSM1249266	GSM1249267	GSM1249268	GSM1249269	GSM1249270	GSM1249271	GSM1249272	GSM1249273	GSM1249274	GSM1249275	GSM1249276	GSM1249277	GSM1249278	GSM1249279	GSM1249280	GSM1249281	GSM1249282	GSM1249283	GSM1249284	GSM1249285	GSM1249286	GSM1249287	GSM1249288	GSM1249289	GSM1249290	GSM1249291	GSM1249292	GSM1249293	GSM1249294	GSM1249295	GSM1249296	GSM1249297	GSM1249298	GSM1249299	GSM1249300	GSM1249301	GSM1249302	GSM1249303	GSM1249304	GSM1249305	GSM1249306	GSM1249307	GSM1249308	GSM1249309	GSM1249310	GSM1249311	GSM1249312	GSM1249313	GSM1249314	GSM1249315	GSM1249316	GSM1249317	GSM1249318	GSM1249319	GSM1249320	GSM1249321	GSM1249322	GSM1249323	GSM1249324	GSM1249325	GSM1249326	GSM1249327	GSM1249328	GSM1249329	GSM1249330	GSM1249331	GSM1249332	GSM1249333
ABCA5	1.33112	18.448719	20.063397	26.4700776666667	4.3958393	-3.448853	18.434082	19.867777	4.49787666666667	-17.7784033333333	19.9771093333333	28.654747	28.8041133333333	29.36878	-6.39365633333333	-1.12433	38.8866666666667	46.51213	27.6671213333333	21.5066456666667	-5.65343333333333	-2.775413	32.0114776666667	36.66465	-4.92551666666667	5.37268233333333	46.5142266666667	-15.31219	125.190483333333	-8.49355	34.8204876666667	13.3044673333333	27.9170726666667	6.71961066666667	16.0314136666667	65.9254666666667	23.8493883333333	37.6239383333333	15.7516193333333	15.834873	-10.541006	12.6997393333333	4.01018366666667	1.690541	-8.228749	-3.82328433333333	14.8582233333333	-11.6101378	56.9345633333333	-18.7060033333333	6.02071433333333	-7.91233966666667	20.1368866666667	21.4889886666667	25.8245666666667	13.0506276666667	19.1682386666667	49.32767	-12.6325853333333	42.9508733333333	40.4810466666667	75.6257933333333	10.5547257	9.7582665	36.2411533333333	-3.95068	15.2074136666667	13.5942266666667	23.5412686666667	9.76917966666667	20.2687886666667	-6.83186333333333	5.29203333333333	100.047596666667	89.1244833333333	0.795770333333334	66.4724086333333	14.7921816666667	13.3041633333333	-5.20890666666667	19.3367066666667	8.235799	17.7535383333333	-7.66221766666667	22.4859454166667	15.61179	39.9929671666667	55.7715966666667	8.48393833333333	47.73584	9.489832	21.17826	29.2132066666667	23.4119923333333	45.9026833333333	17.4138833333333	26.3050576666667	28.1943496333333	60.6889133333333	64.8678773333333	18.598047	10.8609216666667	19.16594	-8.60953666666667	-11.23072	-7.40673466666667	34.24578	30.9784166666667	30.838002	43.8242433333333	59.017015	15.283695	53.7156006666667	31.4767956666667	-0.0698843333333331	24.241775	42.8861596666667	114.319883333333	-14.0656213333333	52.20916	-19.473064	13.4477133333333	62.8144972333333	53.000082	53.51134	30.6211166666667	13.5544563333333	-13.2228718333333	7.60493	36.0291	24.4768966666667	25.479567	-8.42055	68.86544	-13.6275726666667	5.90794956666667	70.9123766666667	-7.32047026666667	9.40911666666667	8.294075	21.3360173333333	-23.31041	10.9178616333333	33.1724016666667	39.4570266666667	17.832692	58.53454	63.82337	7.17512086333333	10.1022933333333	6.90475666666667	50.9448066666667	8.091809	11.694744	45.5755266666667	22.7606756666667	8.67564433333333
ABCB1	58.57741	117.665485	184.72975	82.56352	56.36596	28.5912635	142.15635	33.78932	185.2009	16.179165	125.57975	129.64512	200.5695	133.6736	155.2236	70.643925	138.38755	166.36015	107.456605	152.907	58.447955	24.7922295	171.5626	123.81445	107.849435	290.3304	444.492	143.600165	213.1826	73.978395	303.4428	142.4326	138.74	183.62145	203.39945	109.000095	63.13955	155.1829	263.0881	90.366785	93.584935	111.49251	95.197175	50.22213	75.09126	27.06619	85.687455	133.85766	153.06485	13.13411	43.6935035	181.0384	284.73475	123.24095	206.47765	140.06649	151.457885	445.934	242.1981	244.70865	173.1831	206.6941	147.5766	136.96955	239.04845	92.113145	64.87703	387.14665	131.139125	126.095655	160.710335	-10.751847	109.37761	217.8216	226.949	30.700715	149.60685	458.44345	77.85154	264.6716	158.87285	247.39455	169.61701	264.973	173.7415	172.52545	204.0881	173.13555	255.54215	206.3788	178.97775	156.0201	248.78205	407.7703	220.48265	209.0247	191.86395	314.95985	311.115	167.0105	240.60895	270.34175	261.35215	229.1187	60.02714	210.92205	270.81745	190.9612	287.96255	141.43485	250.48975	139.3171	128.21185	258.07685	53.687198	130.96895	132.02625	307.4506	106.058555	175.69425	83.26482	285.96975	165.1726	190.243	147.32385	150.90665	306.95695	232.37505	127.5489	138.0072	126.40935	261.5941	163.9857	300.57085	196.3311	154.5526	260.11435	104.519065	162.3439	185.62155	210.1878	123.481275	187.8711	152.4509	312.72235	163.1356	199.8817	284.68475	81.98859	74.54859	184.5583	226.8693	82.31674	164.8327	376.38465	276.5876	132.38855
ABCB4	11.83492	13.56984	-10.05329	-5.826135	-7.188679	-13.47108	9.014676	13.61609	-26.68616	-4.627879	56.33842	9.108577	56.6674	84.94051	52.70452	4.710566	4.29961	53.81163	97.39704	65.93404	118.8421	7.170546	102.4444	57.5271	-1.303363	92.68542	58.62857	38.81033	177.3311	5.202152	-14.84372	21.29556	38.39887	17.66607	113.8475	58.55087	41.42886	8.687611	118.0065	7.357462	26.91522	15.5779	-22.48378	-0.9331396	17.23286	8.081199	39.91141	34.85748	137.1106	1.27597	-2.029053	23.77159	138.7694	67.252	15.16492	102.0695	80.29763	71.12021	45.02448	218.0161	49.32286	56.76463	55.79665	20.40659	-13.93366	44.43007	-24.16354	28.03493	23.40285	-8.154086	42.35927	-36.50995	-13.01511	21.2466	37.31023	19.76184	6.065206	-9.618764	0.342771	-13.77051	-3.256239	42.62037	4.851944	-17.82537	23.18795	48.17848	90.80126	27.25403	53.65401	46.76271	105.5582	114.5933	124.5531	24.13549	158.7117	35.23842	63.46497	51.3216	116.0805	70.97089	73.72993	26.03365	120.3921	77.78364	1.254403	1.528603	56.14865	118.8929	30.28727	89.68162	25.80486	1.161319	58.82901	37.60226	2.744616	79.43211	26.5331	112.6108	24.85767	52.89484	4.503947	-9.807946	-1.247407	-5.221205	-14.036	-7.907834	165.2156	61.19888	25.83016	5.163452	57.70536	40.70221	76.18478	81.23556	-22.4991	29.86988	80.91883	68.17131	120.1522	1.351699	2.750508	-26.84428	29.68703	18.55501	174.6195	63.21976	54.98595	8.694185	10.90457	68.43684	79.52624	62.23851	4.804519	75.98254	48.19749	66.86948	24.27743
ABCB9	224.606590333333	415.132926666667	336.263719666667	39.7057856666667	240.97875	24.7719343666667	420.558986666667	52.7430433333333	172.340207466667	22.0517233333333	718.147436	946.853748333333	608.37742	580.858626	135.727813666667	171.764733666667	186.884036	150.507134	396.231066666667	612.986186666667	136.985836666667	136.2842004	376.117042	39.7778966666667	190.4986714	293.492873666667	276.345684833333	249.49768	637.982266333333	14.4757756666667	163.000646666667	59.4803706666667	206.374938333333	215.677195333333	143.890236	96.6646246666667	178.185835333333	78.8012266666667	323.540886666667	832.38509	239.677837333333	154.04057	83.458346	70.485354	26.5252893333333	77.6239166666667	197.532746666667	247.140536666667	81.5404096666667	110.11336	181.858761666667	131.781027666667	336.67885	277.058758666667	182.411793333333	312.576026666667	327.244493333333	307.042492	69.4924543333333	293.681158333333	98.2637066666667	109.872483333333	301.12168	114.300853333333	505.589528	130.05609	40.1250306666667	73.8190933333333	42.3439166666667	1152.87627	74.2745176666667	9.11445033333333	284.761108333333	252.181697666667	275.140740333333	445.674964	246.352857666667	350.874351333333	61.9848453333333	101.466741533333	365.259933333333	340.56434	154.397767666667	239.951608	169.258358666667	171.731841333333	279.121754333333	86.4534966666667	231.324259333333	257.17445	205.553471233333	178.772297333333	296.203113	144.174616666667	153.701774666667	308.965233	360.762253333333	161.18334	256.170225666667	240.258907333333	168.726987333333	216.034524666667	217.449756666667	329.83256	18.588433	270.103191333333	190.003092	296.359354	325.404099	497.239346666667	109.87323	327.855972	252.720725666667	525.55024	221.978685333333	207.256486666667	577.052258333333	176.981192333333	34.179707	360.800991	122.934018333333	198.007833333333	491.130429	270.831565333333	29.56104	229.666853333333	192.027628333333	166.27895	337.16889	358.234799	91.2190633333333	486.915750333333	855.100658666667	193.018729666667	88.70708	334.927214666667	426.05248	308.53604	299.372923	421.439063333333	320.318216333333	79.3150366666667	273.660246333333	188.532181333333	320.061906	504.61713	829.260107666667	362.604903333333	222.945858333333	106.772391666667	516.65267	545.07264	192.197734666667	984.863394	690.1259454	240.894924666667	97.5428126666667
ABHD5	756.101	883.5302	1031.709	1339.291	1321.419	1054.602	874.3918	951.1094	610.7825	1133.701	659.2402	884.6541	524.9422	577.5799	496.3029	1098.635	630.5098	1283.911	363.7902	483.7551	484.9613	872.8066	889.1377	1467.497	356.6472	254.5542	386.1363	864.027	203.742	350.3005	323.7571	846.9028	477.0126	400.5502	816.1653	744.5477	2131.736	876.7598	400.4453	388.1834	826.0087	688.9839	1620.356	1391.23	1168.789	1099.361	802.1166	837.5428	638.4241	1714.034	962.0958	585.0016	322.5622	766.5447	682.516	645.3213	334.2981	607.2658	387.4875	453.0658	649.3391	522.3041	449.2756	630.1741	655.4869	323.839	1270.207	743.2245	415.3267	311.6562	409.9275	1288.057	888.3475	850.4918	606.5639	855.5201	487.1423	409.12	1069.536	227.4514	627.4019	406.0569	746.958	504.7097	606.2239	804.7266	433.0226	475.8908	326.3207	653.0989	609.0596	432.895	296.0558	460.3445	483.6267	509.7985	264.4347	361.3357	263.7497	753.8052	415.4339	426.3291	579.915	569.7752	1655.281	396.6624	300.4985	295.064	373.3618	375.1966	588.759	740.7252	588.441	392.9389	441.9771	1044.728	488.6841	286.5714	2021.187	465.3258	761.2635	1229.766	613.3901	494.9203	1102.505	631.5635	349.1099	406.7497	1102.86	730.4085	615.2728	542.9952	1112.462	943.6833	834.8871	631.7362	284.6366	315.583	310.2476	376.6013	571.3095	690.5508	194.4457	555.8373	346.2569	700.1806	754.8108	376.4205	822.7123	999.3085	361.8697	353.4454	578.8604	785.3891	877.7516	623.5883	627.4019
ACAP1	1101.47	1170.331	1318.483	1432.722	396.3416	1633.088	1145.568	1709.113	1163.575	1038.384	1270.764	1391.23	1167.138	805.8527	854.7372	798.6519	1496.166	1680.216	1183.326	907.4534	953.5084	516.44	792.1011	1128.972	996.3023	1295.508	1162.744	1320.388	1777.256	920.3213	1490.81	1203.304	1276.318	1144.88	2473.865	1619.057	1852.676	1052.316	1828.028	967.582	826.9288	968.4731	934.1603	1030.376	940.0122	1011.095	1253.433	1137.818	1420.626	769.7618	1791.615	772.2135	1076.179	1113.547	1087.644	1108.349	1108.764	1221.899	1221.899	1195.412	1010.441	1168.789	1393.346	955.64	971.0952	862.2764	780.9395	1286.221	823.8451	1032.317	1379.769	1084.447	833.4355	1129.34	1149.748	888.6321	1131.921	1114.986	1296.956	848.5967	1443.829	891.0529	1285.323	1223.345	931.9189	1163.575	1353.323	1309.028	1389.733	1267.855	1100.023	1266.027	1727.671	1250.434	1212.209	1450.073	1458.638	1475.005	1204.222	1238.505	1367.746	1532.191	1470.915	1369.744	766.0749	1370.191	1193.351	1280.009	1194.182	1244.36	920.9215	817.3587	812.2939	1037.034	665.8536	922.9296	885.1835	1317.374	305.6021	1462.939	713.3983	761.6907	1317.945	811.0472	2390.998	923.2149	1367.746	1416.274	904.1172	1562.414	1136.725	1106.511	1115.721	1579.932	1000.527	915.6537	1362.666	1164.747	946.7145	1536.325	982.1115	527.4882	1263.333	1120.496	1251.703	1691.244	1413.495	968.4731	735.3688	1345.596	831.4971	1308.609	1063.292	1120.865	1274.834	1098.635	1120.865
ACHE	13.4484013333333	20.3255066666667	17.7893986666667	-4.673175	23.9898933333333	5.93585666666667	23.159332	5.76690666666667	5.91005333333333	45.8467633333333	-1.535415	-2.75563566666667	3.256222	-3.3525	9.421608	144.726473333333	19.3391146666667	1.511179	4.88113966666667	30.8902933333333	2.42541366666667	187.943123333333	9.23023333333333	11.3202703333333	44.6880333333333	9.099704	25.4351866666667	3.36425640033333	5.75978333333333	25.2348823333333	8.71671666666667	27.4506833333333	2.60512	29.8992366666667	-3.254115	2.96166666666667	2.71847313333333	44.7416246666667	1.66185	4.656747	11.7852226666667	27.91448	11.0948646666667	39.4019733333333	26.71378	32.7574443333333	10.4428213333333	21.9990366666667	-4.81106233333333	92.6844833333333	29.80943	40.82619	0.675253333333333	27.089246	5.94125633333333	61.8416466666667	1.21528933333333	4.62692866666667	16.8103373333333	13.37506	7.423779	-4.66222333333333	-1.74008133333333	94.9019733333333	2.644784	24.2156533333333	83.44559	-8.985983	0.960577333333333	25.46835	2.93663733333333	14.2041343333333	19.36649	1.76640366666667	1.36098433333333	47.5043766666667	-9.49812433333333	24.1806933333333	4.99814533333333	16.139484	10.2485783333333	14.303726	13.6702776666667	13.9772893333333	33.8561333333333	76.49804	13.0318063333333	-10.6615743333333	7.86493033333333	-2.70470666666667	6.143452	14.690399	13.6123866666667	-0.538385133333333	2.082988	-0.82363	-2.973364	-5.59753066666667	4.37966	2.646097	10.509016	-6.38601566666667	6.61936533333333	14.9083	75.9926866666667	11.6820733333333	36.88516	4.51254566666667	18.7561133333333	2.97876266666667	31.72431	25.79212	10.0432333333333	13.625485	11.5629303333333	20.5265016666667	8.09477366666667	12.4103863333333	158.391046666667	1.798946	146.118363333333	24.3534866666667	13.5401233333333	4.96503333333333	-4.73939366666667	31.8357972333333	5.180846	6.11520466666667	44.2240133333333	-9.72675033333333	-8.27241	-6.25192166666667	-6.35451	-14.5530166666667	19.3752883333333	16.12767	-1.058236	3.64172933333333	-8.14135333333333	-5.30953266666667	54.2522766666667	5.52234033333333	16.2421466666667	5.502557	9.95224166666667	-4.612353	-1.52766566666667	20.5761766666667	19.3048913333333	-2.93004333333333	-0.0418799999999998	10.692189	27.0126066666667	20.54337	20.3129856666667	28.473451	96.10559
ACP5	782.0954	513.96	521.2474	382.4338	640.2708	349.0109	858.0411	574.647	682.8829	386.8024	569.6185	766.7511	432.4597	455.1569	768.3768	1973.585	738.6508	314.5088	625.3208	1440.643	849.7794	7718.659	544.9984	241.4992	944.9561	404.7179	661.8704	764.0312	657.0717	494.9203	695.5304	590.9363	565.0416	1411.843	503.1484	572.9865	293.9933	1003.405	379.2337	873.3267	1022.709	781.1886	475.6416	481.2259	535.8071	2137.358	451.5639	790.5151	328.903	1507.907	630.6989	547.595	537.1379	597.5153	402.3705	666.6366	1070.957	449.6314	659.6381	456.8899	424.3564	402.8768	631.2025	1221.067	505.9467	771.7707	3684.391	533.1366	1167.566	781.8887	305.9016	447.351	839.9984	402.484	392.1899	2585.492	976.571	782.5663	354.0268	870.7764	696.551	613.5676	799.1222	775.6854	257.4757	1130.873	637.1675	717.4144	1362.167	448.1347	400.5502	722.9216	588.1086	494.7885	579.316	603.5907	737.6453	466.3267	582.2512	605.8726	470.6276	646.8899	673.0289	554.0541	1501.367	800.2973	605.2466	632.0856	1283.45	591.591	756.9351	430.8233	400.3532	1024.537	1438.337	299.9673	410.5474	376.9879	12310.39	381.3341	2188.299	1473.781	631.7362	397.9786	248.1359	724.3629	571.9249	759.9333	1638.48	369.8493	424.0283	508.756	547.3051	393.2458	1250.434	849.295	499.0045	608.742	417.1812	609.5792	2182.065	4485.41	501.0457	615.6404	638.7255	589.3799	455.5264	1063.683	688.4204	491.51	418.4558	761.6907	942.3364	652.0233	642.6154	1091.555	1615.633
ACPP	256.9737	178.8012	382.9181	291.4095	269.4337	1066.437	108.4377	647.9402	142.7687	490.3321	162.7	226.2994	114.6361	80.89355	219.7551	133.6018	172.9147	344.8114	160.2516	76.96234	156.1966	68.19178	126.6033	413.4323	55.36948	123.4038	91.31841	53.29507	66.7254	135.4708	218.8119	289.2647	164.8311	91.52261	311.128	226.248	527.4882	206.9698	134.6324	110.3786	131.8739	245.4242	263.7497	251.1108	215.1218	149.9295	223.4897	164.3846	233.7485	169.4158	369.5021	158.3866	109.6732	216.7691	115.3559	136.0573	97.75346	146.8907	196.0205	135.4162	200.692	460.966	229.7392	123.5371	90.35138	64.93057	220.3797	179.8483	121.2065	106.7582	392.4685	39.50351	235.7402	565.955	191.264	206.9181	131.9872	79.25899	513.3088	43.1755	184.5382	152.513	254.8399	222.3421	58.93664	86.09537	96.51548	133.1134	245.8754	130.3692	121.4798	255.3444	139.2364	163.9902	162.8116	130.1307	73.21292	228.8065	96.09711	127.4546	152.0829	151.6522	109.5582	91.55775	822.9335	38.01907	95.3869	75.44971	73.30298	267.1378	172.7334	186.222	331.3776	29.90587	129.2236	312.964	88.92555	81.2888	27.13841	111.249	215.6633	23.72613	139.7821	108.6744	276.7579	266.8107	175.3432	201.4888	255.8285	251.4724	88.11942	129.7368	127.5586	235.8043	108.7616	113.4569	119.0649	142.6768	173.0325	162.7	207.501	139.2031	40.89003	319.808	102.4444	188.9672	114.2468	90.23916	164.202	179.2201	82.42689	186.9017	127.7003	135.7314	108.0892	174.9037	41.79342
ACSM3	19.5486333333333	12.8652766666667	18.1319033333333	19.2053366666667	10.5586033333333	24.9905633333333	24.450856	67.4627583333333	33.0114066666667	23.6026866666667	28.9918866666667	23.5753366666667	30.6213853333333	29.7386313333333	31.0262666666667	158.223246666667	46.6724793333333	30.2430566666667	7.75218666666667	51.655189	39.3320533333333	316.097163333333	27.3559666666667	13.3244166666667	65.7964133333333	31.1879563333333	40.5010633333333	15.6502033333333	57.138168	38.1156833333333	42.6484066666667	29.2117433333333	69.12453	19.0102433333333	35.1892166666667	56.8555933333333	29.8311333333333	26.35093	48.012809	21.73211	5.81950033333333	34.77278	64.7386766666667	18.0405	40.2175233333333	17.1195166666667	32.84189	24.8720133333333	30.6015996666667	17.5218933333333	43.1036033333333	28.3383866666667	41.0228133333333	33.7804866666667	23.0174266666667	7.67039666666667	15.19942	23.3890566666667	29.1735233333333	31.18645	37.8225166666667	89.4772133333333	46.810322	231.188185	29.0478333333333	16.325775	128.268866666667	15.6219233333333	35.6612	33.2430966666667	16.66203	12.68641	59.9712733333333	25.6660533333333	58.2294655	98.7727866666667	24.17494	23.4156133333333	13.4896033333333	26.3401533333333	13.451269	23.3973566666667	23.1957833333333	24.59616	26.648198	27.9153633333333	10.2691043333333	48.336151	13.8333166666667	36.0352233333333	42.9262966666667	20.0456566666667	43.5081866666667	41.2966486666667	45.5677033333333	52.0647073333333	43.5552266666667	85.1061	54.3218266666667	23.36844	33.6906466666667	35.6912333333333	29.6689866666667	37.5394933333333	44.0158266666667	22.4930633333333	34.9086366666667	29.173277	22.6805833333333	63.433316	30.8872966666667	25.6503533333333	20.3858533333333	43.0153933333333	41.16028	19.80163	24.4965633333333	38.08982	1453.07092666667	30.01586	44.7385333333333	102.942956666667	11.11673	30.4182966666667	11.7599733333333	120.47084	38.7463366666667	17.2360933333333	47.4937733333333	17.3434566666667	25.9796423333333	36.9939066666667	27.21484	40.5988333333333	29.83916	9.18894	35.2761233333333	28.5016366666667	37.8605933333333	9.216923	43.0158433333333	190.972603333333	52.20671	40.34314	31.2352433333333	17.00935	30.1452766666667	20.6122516666667	16.9417166666667	13.4917566666667	39.6223636666667	41.2034973333333	23.2180433333333	16.24714	87.96372	20.94634	46.8322366666667
