GeneSymbol	GSM1008060	GSM1008061	GSM1008062	GSM1008063	GSM1008064	GSM1008065	GSM1008066	GSM1008067	GSM1008068	GSM1008069	GSM1008070	GSM1008071	GSM1008072	GSM1008073	GSM1008074	GSM1008075	GSM1008076	GSM1008077	GSM1008078	GSM1008079	GSM1008080	GSM1008081	GSM1008082	GSM1008083	GSM1008084	GSM1008085	GSM1008086
ABCA5	59.23296	50.3335	80.79923	111.51617	91.70737	61.8303	64.7624	73.46275	58.24976	54.98297	46.79761	43.00675	76.90808	52.52205	55.05232	36.2496	34.96887	69.1304	51.3528	39.19968	61.02503	101.78493	42.31122	54.21643	61.68011	89.0058	50.4566
ABCB1	53.61748	92.3705	118.59474	80.94969	117.13044	69.62244	135.63075	81.67363	64.38068	83.74454	90.84846	77.26767	87.63789	52.01968	80.14555	69.94354	74.52187	77.04735	103.42455	68.03258	79.08505	136.02659	80.03147	57.20615	63.34293	57.74961	58.92624
ABCB4	40.07964	52.147	70.01201	54.61328	95.27258	45.4057	51.96398	39.03271	42.37661	65.372	45.40081	43.0272	54.57345	41.06289	43.17004	42.17486	41.09608	55.72604	71.39031	41.43474	44.84673	129.91218	40.58513	36.5394	45.07509	35.44351	42.63489
ABCB9	84.05827	87.2521	85.73775	72.08614	69.2409	75.77844	64.15278	60.48884	72.22506	73.86956	90.98958	89.43448	58.26185	73.13144	70.75291	73.59756	81.62615	77.15236	95.39315	98.29851	81.79429	60.73271	75.54307	76.6724	74.06818	80.87689	70.96909
ABHD5	779.39748	808.2765	842.56858	515.57229	578.82408	491.4462	1248.10995	1115.25495	677.13798	811.04558	378.09501	779.94486	659.44334	679.93728	660.58922	526.67039	640.36028	999.44261	886.93104	495.8888	1019.05497	599.2911	338.04959	742.94093	801.18654	896.74174	1379.57607
ACAP1	897.32188	932.84994	1003.95418	974.95129	987.02695	866.35573	840.0684	589.18037	950.76631	965.10341	1157.93589	919.00291	965.96651	819.60979	952.93671	972.66466	739.13794	809.65389	990.4219	933.17208	1012.87755	913.5293	912.68924	884.79339	951.99817	837.66796	806.03
ACHE	107.96228	99.31193	78.68084	110.05557	101.29129	99.53052	94.81656	103.73441	95.39726	112.93512	108.18417	113.09043	110.64421	117.53605	103.27124	118.39339	110.88945	101.43686	124.62581	125.40372	94.63249	102.12605	127.53781	121.5451	115.4702	104.71968	107.7796
ACP5	209.41423	182.73573	218.18563	204.18133	201.79779	136.65211	95.84846	132.35584	144.59132	167.17155	189.45895	197.62174	140.70891	143.76923	112.1774	147.9301	94.04001	185.16824	342.4989	131.51864	129.71769	211.57396	370.30573	482.32864	149.44702	156.68048	85.68353
ACPP	231.20895	229.04594	279.80319	284.15279	390.75933	296.33569	527.54206	367.03263	362.48167	441.94006	275.07092	300.57125	287.8498	255.54972	284.23024	256.81487	227.59959	291.42456	396.35945	237.83249	470.04537	160.35883	268.32806	376.11041	362.12423	280.08858	391.60133
ACSM3	50.92242	41.44933	44.76721	74.173	34.58234	41.25411	43.71309	30.1189	71.48963	40.14493	57.15343	29.70847	53.05104	34.20366	43.23153	35.11688	30.23737	51.26248	37.24344	36.78625	45.56585	39.66251	28.20952	38.68846	60.74631	53.26852	27.75508
ADAM19	1066.6323	949.58257	853.18237	1089.57976	769.75599	768.29001	895.79886	593.399	1201.15935	941.83883	1097.10842	765.65729	854.20477	687.86072	587.06827	832.63811	792.06237	868.40182	993.85706	908.26401	1069.44724	677.51742	531.06696	700.63209	994.39559	669.09933	456.79359
ADAM28	263.04871	254.93756	356.17199	394.60966	422.96583	236.52919	281.74169	191.53942	346.99643	283.51684	306.82378	225.02428	293.07819	167.12367	211.50087	231.36071	235.88303	372.55936	257.50522	208.1053	218.08238	493.11962	212.80229	166.27321	271.43894	231.83532	164.50901
ADAMDEC1	31.22173	33.91595	36.49926	32.21808	32.84772	33.49825	31.06331	35.69066	30.01042	36.19657	41.63707	38.02632	31.31198	32.05237	36.42493	38.34525	38.52575	30.19973	36.11252	41.12753	35.46952	34.83839	32.11484	33.45796	36.79669	34.21342	34.74536
ADAMTS3	28.06642	29.56554	24.72141	30.07718	32.24514	26.56619	27.19974	29.75153	31.77591	27.92009	31.90344	35.6802	25.2891	29.07757	28.31563	31.68352	27.15692	25.55436	30.51784	32.02272	26.84113	32.86572	29.9949	29.51207	30.09223	26.55316	33.03353
ADAMTS5	50.52432	49.88951	59.53388	63.53457	54.37614	61.8318	51.36565	44.60899	60.1155	55.17324	61.26757	47.38202	57.70075	65.32766	60.13689	64.4395	64.11266	59.18451	53.66674	53.06779	55.1517	50.92245	51.13583	53.5193	60.59232	63.65136	59.81049
ADI1	271.69382	248.51477	320.93296	325.37179	249.53477	178.34557	219.8654	201.35012	316.21813	207.78424	213.03014	242.84165	232.95242	158.32145	176.4214	189.17324	191.74888	280.0464	323.59664	167.65671	279.64874	316.77647	163.43882	259.55448	280.70817	215.96244	201.37472
ADRB2	227.20341	328.71461	375.18617	382.75094	370.84428	270.45445	390.29634	259.12785	378.16295	335.93013	393.74167	199.65688	321.99179	198.78659	328.36515	269.09324	358.23635	378.96882	290.29132	254.78935	263.53203	344.73347	232.84797	99.21393	266.79333	207.74609	152.97798
AGPAT5	98.83473	95.55597	154.7266	202.95633	181.89318	120.72359	130.33245	150.42108	106.79242	116.12461	85.41607	88.61096	156.76122	107.68715	103.10318	115.23338	91.38708	142.5524	128.85293	63.37325	93.54102	252.66288	99.63581	99.57123	122.20376	92.51529	96.54
AIF1	548.09879	468.94282	656.41275	569.57795	452.67069	325.52948	596.94004	735.22626	318.24328	426.84177	185.4812	423.21135	612.29445	420.8203	388.82785	226.61139	408.45406	355.19437	402.96048	400.9836	515.7071	525.68751	472.03955	707.06241	533.37809	413.71236	958.55999
