GeneSymbol	GSM1356732	GSM1356733	GSM1356734	GSM1356735	GSM1356736	GSM1356737	GSM1356738	GSM1356739	GSM1356740	GSM1356741	GSM1356742	GSM1356743	GSM1356744	GSM1356745	GSM1356746	GSM1356747	GSM1356748	GSM1356749	GSM1356750	GSM1356751	GSM1356752	GSM1356753	GSM1356754	GSM1356755	GSM1356756	GSM1356757	GSM1356758	GSM1356759	GSM1356760	GSM1356761	GSM1356762	GSM1356763	GSM1356764	GSM1356765	GSM1356766	GSM1356767	GSM1356768	GSM1356769	GSM1356770	GSM1356771	GSM1356772	GSM1356773	GSM1356774	GSM1356775	GSM1356776	GSM1356777	GSM1356778	GSM1356779	GSM1356780	GSM1356781	GSM1356782	GSM1356783	GSM1356784	GSM1356785	GSM1356786	GSM1356787	GSM1356788	GSM1356789	GSM1356790	GSM1356791	GSM1356792	GSM1356793	GSM1356794	GSM1356795	GSM1356796	GSM1356797	GSM1356798	GSM1356799	GSM1356800	GSM1356801	GSM1356802
AIF1	0.6061403	-1.06043959333333	-1.19329214666667	1.7343596	0.892844193333333	0.75711155	1.2285358	0.110914723333333	-0.509226941	0.06867346	-0.214056183333333	-0.898819748333333	0.00270589000000003	1.10428889333333	-0.625788266666667	0.592912503333333	-2.38444805	-1.49297752	-0.553794396666667	-0.299760505	-0.121696633333333	0.0380492333333334	-0.0451447166666667	-0.325503813333333	0.0851394333333333	-0.475459581	0.585319833333333	-0.531804233333333	0.517665866666667	-0.77114216	0.3022903	0.764124866666667	-0.748527366666667	-0.199846746666667	0.501994776666667	0.137048366666667	0.22138484	0.983910076666667	2.24067496666667	-2.10811504333333	-0.403309358333333	0.957214526666667	-0.249092261333333	0.09070953	0.303685356666667	-0.584020142	0.708314266666667	-0.87204408	0.11984538	-0.463478566666667	0.01945956	0.273114843333333	-1.17781081333333	-0.30808242	0.366317422333333	1.05607945866667	0.440220033333333	-0.3083129	1.09821701866667	0.682706346666667	-0.686948633333333	-0.685477417	-0.00160026466666667	1.11620633333333	-0.19543792	0.731004563333333	-0.548953543333333	-0.502217143333333	-0.93580502	-0.240719476666667	1.6594138
CSF3R	1.0619917	0.174787045	-1.8099828	-0.36402393	0.182450775	-0.0257816315	-0.26970244	0.0112400055	0.64484907	-0.671310165	0.398188355	-0.000119209999999998	0.71203257	-0.20533609	-1.7681472	-0.57235002	-3.1635313	-1.21224545	-0.419279815	-2.23681095	-0.1381239885	0.17230892	1.2173405	-0.67131877	-0.5208520875	0.649409315	1.073164	-0.33106543	-0.017895935	0.42897844	0.613195425	-0.99009417	-0.8237195	1.1298952	0.61972475	-0.686936855	-0.74658488	0.567003965	1.238615975	-2.03430435	0.13526057	0.907365325	-0.40056348	-0.169160359	-0.526671415	0.9237752	0.34482074	0.29133725	0.606194975	-1.087925925	0.085538388	0.28008985	-0.79020142	-0.395959625	-0.94040347	0.99011017	0.35102677	0.0684449675	-1.332572215	0.311010835	0.35679507	-2.20137715	-0.844441415	0.14352274	-0.86233377	0.52346898	-0.106261729	1.785337	-0.5290637	-0.95411992	0.692598325
NXT2	0.92550707	0.7806406	0.36053658	0.4730177	-0.47454643	-0.3504839	-0.13099766	0.3060522	-0.29656887	0.5074239	0.36568165	0.17324066	-0.24820757	0.21776009	-0.91622543	0.662055	-0.6898322	-0.49289083	-0.112748146	-0.20038176	0.25665665	-0.7586508	-0.58296585	0.6017866	0.5750351	-0.031891823	-0.3888445	1.2491484	-0.2661867	-0.16650581	-1.2326813	-0.22028446	1.6106281	-0.1541481	-0.19419289	0.10572815	0.30465794	0.3024888	0.41109753	-0.73718977	-0.08819294	-0.5219641	-0.31435347	-0.2928133	-0.28091908	-0.8438158	-0.73331356	-0.59538555	0.40759516	0.20941734	-0.12228012	1.1241755	0.037516594	0.08893347	0.17461252	1.1620421	-0.4567623	-0.15163374	1.4746771	0	-0.083278656	0.28579998	0.96018124	0.46572304	0.3528347	0.91784906	-0.05367756	0.91559124	0.07917929	-0.26935387	1.520895
PKD2	0.73925257	0.19618034	0.45016766	-0.0669713	-0.0958271	0.27200174	-0.050529957	0.45449734	0.18816996	-0.118724346	-0.0419569	0.15372181	0.2777276	-0.21917629	-0.4275446	-0.45449448	-0.411798	0.8090267	-0.053352356	-0.23928261	0.12550259	-0.6492481	0.5375161	-0.003592014	-0.23477077	0.040068626	0.46628857	0.7764635	-0.29935598	-0.035699844	0.042307854	0.5144453	0.77902794	-0.006641388	-0.1278019	0.32402515	-0.057970524	-0.06351471	-0.3184271	0.18902874	0.17049026	-0.20609283	0.07990122	0	0.019367218	-1.1105628	0.32146502	-0.002317905	-0.1055007	-0.12998009	0.31872463	-0.50421715	-0.0726738	-0.035410404	-0.13434124	0.42200565	-0.2531972	0.2580943	0.28981066	-0.31394625	0.18216276	0.02341175	0.97018147	-0.631989	0.34032583	0.9590707	0.45809174	1.1781273	-0.12265015	0.11233759	-0.23173189
ABCA5	-1.81397929	0.8822635	1.05448993333333	-0.274365766666667	-2.75707776666667	0.4408226	-1.72622316666667	-1.459024755	0.29898486	0.573805804666667	0.359554283333333	-0.16145166	-0.0605421	0.557247003333333	-0.597687333333333	0.06659446	0.90190854	0.0200603666666667	-1.11070921333333	-0.3250639	0.573323406666667	-0.49804337	-1.00402004333333	-0.76373481	-0.371597733333333	-2.17061073333333	-3.55843766666667	-0.667984645	0.0329895133333334	-1.12611484333333	-0.962212706666667	1.01253923333333	0.645836683333333	-1.013445855	-0.82076151	0.27120638	0.328146773333333	-0.636075498	-0.812295433333333	0.90419405	0.104596613333333	-0.340654379333333	-0.334564866666667	-0.8335843	0.489415973333333	-3.16819796666667	0.919712403333333	0.95667855	-0.938853511	0.339235943333333	-0.45958568	0.0128488366666666	0.0107892366666667	-0.246336453333333	0.21239487	-1.12070971666667	-0.207029491333333	0.672600273333333	0.439362996666667	-0.936320466666667	-0.150131233333333	0.620567943333333	-0.239652166666667	-3.21095356666667	-0.356610151	-0.635296503333333	0.652859043333333	-0.0343882233333333	0.85045368	1.0832653	-1.76490394
ABCB1	-0.02175188	0.3234415	0.5703831	0.4630146	-1.2680626	0.14033413	-1.4258914	0.6148243	-0.37441826	0.15755653	0.49796772	0.048113823	-0.43510866	-0.21147728	0.7894168	-0.44923687	2.083239	2.473505	-0.8633337	1.1101556	0.855752	-0.25442696	-0.1515603	-0.103980064	0.60355186	-2.795195	-2.1547532	0.6871071	0.40069103	-0.64898014	-0.4950161	0.601038	0.3495922	0.047136307	-0.28058624	0.81139565	-0.19029808	-0.3618703	0.14369678	2.3427658	-0.31960106	-0.9339266	-0.032985687	0.162323	0.8011246	-2.2166786	-0.21212482	0.15838575	-0.79495955	0.2133131	-0.68223953	0.10856867	0	-0.29538774	-0.24096155	0.31369066	-0.7724905	-0.43516874	0.30485535	-1.9486871	0.16577244	-0.19764996	-0.2452774	-1.2609153	-0.3744955	0.454	0.80280876	0.4730978	0.49268675	0.4737816	-0.53428936
ABCB4	-3.8107862	1.2017875	0.6007066	-1.8719049	-5.968475	-2.6621213	-4.476274	0.7038593	0.6611395	0.8504176	-0.20427084	-1.3573098	-1.2785354	0.38272	0.75760984	-5.001127	2.417235	1.4178524	-2.4213357	2.0024633	-0.42822218	-0.23007727	-0.46707296	0.5832124	1.3487964	-5.1511016	-4.521993	1.4273028	0.31075191	-0.13901186	1.758379	1.4189196	1.538446	-0.009901524	-0.6179013	0.39226007	1.7859306	-1.3412938	-3.628385	0.33865166	0.48108625	-4.6539197	1.0025196	0.32062197	1.0789886	-5.117556	-0.6076832	-1.6688447	-0.14229345	0.1394701	-0.79640913	1.1157088	0.7784052	1.6761532	2.097406	0.7881117	-1.0645585	-1.1101832	-1.379539	-1.0821157	-3.5256515	0.14059782	-4.8159165	0	0.8743515	1.8744688	0.8711815	-4.306214	-1.819037	1.3531666	-2.8579812
ABCB9	0.134080093333333	-0.801723321666667	-1.1666754	0.171879933333333	0.317833366666667	-0.41184124	0.2251668	-0.5400537	0.0346865666666666	0.0872168666666666	-0.892085866666667	0.115602633333333	0.342546303333333	0.03416569	1.36840806666667	0.106961233333333	-0.335270405333333	-0.46066459	0.831550133333333	-0.10559957	-1.06575313333333	0.0436972333333333	0.694173336666667	0.149597966666667	0.73230697	0.162652633333333	-1.3289307	-1.03316196	-0.08663352	0.388762633333333	2.48127733333333	0.980936346666667	0.0752209033333334	1.1140453	-0.00195263333333336	-0.70570358	-0.736031366666667	-0.228994033333333	1.50135595	-0.366881733333333	0.70778211	-0.835666013333333	1.48314913333333	0.15032021	-0.1234762	2.18968566666667	-0.328734083333333	-1.08239475	-0.54802555	2.4934465	0.608218203333333	-1.07170861333333	-0.428185303333333	0.35105688	0.270500183333333	-1.70024666666667	-1.75377003333333	0.256815123333333	-0.208961333333333	-1.08818563333333	0.694383466666667	-0.84798112	-0.932326158333333	-0.114322333333333	-0.431324166666667	0.24598615	0.798078873333333	0.1568346	0.6341799	0.15713517	1.30776666666667
ABHD5	0.3164382	-0.6083307	-0.19838905	0.56544685	0.35700893	-0.020824432	0.1320839	-0.7238779	0	0.03684473	0.3003378	-0.078596115	-0.12952948	0.1791439	-1.2834535	0.70018387	-2.4297762	-0.62988424	0.6139755	-0.4293375	0.5091486	-0.9257536	-0.06643009	0.74329185	0.35787106	1.6672611	0.9729309	0.5782471	-0.13923264	0.34909153	-0.40111637	-0.89260626	1.1566944	-0.8647914	0.40306854	-0.23502636	-0.42496777	-0.107106686	0.64110756	-1.1856618	1.3032818	1.070714	-0.022526264	0.25799847	0.16036224	-0.006676674	-0.25689316	-2.0232072	0.09338713	0.20145035	0.96062183	0.3100686	-0.8767414	-1.5280528	-0.9610214	-0.9396796	0.056215286	0.023099422	0.9996567	0.27854443	-1.1614642	-0.537035	0.7636757	-0.090652466	0.47063065	0.7910819	0.7673025	-0.38794327	-1.3763027	-1.3606572	-0.39380598
ACHE	0.5972459	-1.8722181	-1.52581355	0.8545787175	-2.74969865	-1.613269785	0.0228595735	-0.72986913	0.2332115175	-0.966430175	0.063842298	-1.42776253	0.96968745	-0.031904698	1.5850868	-0.45467472	1.9326763	1.6314145	-0.548942565	0.3301482115	0.805840507	-0.947050575	1.44144795	-0.28222657	-1.21640777	-1.93232535	-0.46418095	0.1866111775	0.63406086	-1.94587945	-0.01264047	1.824964	-2.01228525	-1.388060568	-0.60855055	0.20470667	0.10746622	-0.586044315	1.51438965	1.238676525	-1.74969865	0.53258633	0.526302585	0.614034915	0.3642039205	-1.898779865	-1.459296245	-0.98612112	0.37989474	-1.60522747	-0.769984705	-0.77821495	-1.694911035	1.158911235	1.296963915	-0.67118405	-0.82307456	2.01901545	0.04340887	1.126575001	1.79785135	0.470990675	0.64878631	0.890048745	-1.58212376	-0.18634867	0.262130491	0.142278192	-0.63588475	0.4635663	1.5637913
