title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	data_processing.5	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1
TB_1	GSM2712676	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 1	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373636	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022502	NONE
TB_2	GSM2712677	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 2	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373635	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022503	NONE
TB_3	GSM2712678	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 3	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373634	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022504	NONE
TB_4	GSM2712679	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 4	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373633	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022505	NONE
TB_5	GSM2712680	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 5	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373632	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022506	NONE
TB_6	GSM2712681	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 6	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373631	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022507	NONE
TB_7	GSM2712682	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 7	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373630	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022508	NONE
TB_8	GSM2712683	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 8	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373629	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022509	NONE
TB_9	GSM2712684	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 9	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373628	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022510	NONE
TB_10	GSM2712685	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 10	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373627	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022511	NONE
